season,week,cutline_type,key,raw_cutline,shrunk_cutline,base_cutline
2020,11,position,WR,8.8,8.935,9.1
2020,11,position,TE,8.8,8.92,9.0
2020,12,slot,QB,18.42,20.224000000000004,21.700000000000003
2020,12,slot,RB,10.1,11.0,12.1
2020,12,slot,WR,10.3,10.66,11.1
2020,12,slot,TE,11.4,10.92,10.6
2020,12,slot,FLEX,8.3,8.540000000000001,8.9
2020,12,slot,SF,12.3,13.75,15.2
2020,12,position,QB,12.3,13.895,15.2
2020,12,position,RB,9.3,9.3,9.3
2020,12,position,WR,8.3,8.66,9.1
2020,12,position,TE,8.3,8.719999999999999,9.0
2020,13,slot,QB,21.4,21.565,21.700000000000003
2020,13,slot,RB,12.8,12.485000000000001,12.1
2020,13,slot,WR,13.2,12.254999999999999,11.1
2020,13,slot,TE,10.7,10.64,10.6
2020,13,slot,FLEX,10.3,9.740000000000002,8.9
2020,13,slot,SF,15.84,15.52,15.2
2020,13,position,QB,15.84,15.488,15.2
2020,13,position,RB,10.4,9.905000000000001,9.3
2020,13,position,WR,10.5,9.870000000000001,9.1
2020,13,position,TE,10.3,9.52,9.0
2020,14,slot,QB,19.28,20.611000000000004,21.700000000000003
2020,14,slot,RB,10.6,11.275,12.1
2020,14,slot,WR,11.1,11.100000000000001,11.1
2020,14,slot,TE,10.9,10.719999999999999,10.6
2020,14,slot,FLEX,8.9,8.9,8.9
2020,14,slot,SF,15.3,15.25,15.2
2020,14,position,QB,15.3,15.245,15.2
2020,14,position,RB,8.9,9.080000000000002,9.3
2020,14,position,WR,9.1,9.1,9.1
2020,14,position,TE,9.3,9.120000000000001,9.0
2020,15,slot,QB,23.42,22.474000000000004,21.700000000000003
2020,15,slot,RB,14.1,13.200000000000001,12.1
2020,15,slot,WR,11.5,11.32,11.1
2020,15,slot,TE,10.6,10.6,10.6
2020,15,slot,FLEX,9.4,9.2,8.9
2020,15,slot,SF,16.92,16.060000000000002,15.2
2020,15,position,QB,16.92,15.974,15.2
2020,15,position,RB,9.5,9.41,9.3
2020,15,position,WR,9.4,9.265,9.1
2020,15,position,TE,10.1,9.44,9.0
2020,16,slot,QB,23.14,22.348,21.700000000000003
2020,16,slot,RB,12.7,12.43,12.1
2020,16,slot,WR,10.6,10.825,11.1
2020,16,slot,TE,10.6,10.6,10.6
2020,16,slot,FLEX,9.3,9.14,8.9
2020,16,slot,SF,15.38,15.29,15.2
2020,16,position,QB,15.38,15.280999999999999,15.2
2020,16,position,RB,9.3,9.3,9.3
2020,16,position,WR,9.9,9.54,9.1
2020,16,position,TE,9.5,9.2,9.0
2020,17,slot,QB,22.700000000000003,22.150000000000002,21.700000000000003
2020,17,slot,RB,13.6,12.925,12.1
2020,17,slot,WR,12.2,11.705,11.1
2020,17,slot,TE,10.8,10.68,10.6
2020,17,slot,FLEX,9.9,9.5,8.9
2020,17,slot,SF,16.240000000000002,15.72,15.2
2020,17,position,QB,16.240000000000002,15.668,15.2
2020,17,position,RB,10.9,10.180000000000001,9.3
2020,17,position,WR,9.9,9.54,9.1
2020,17,position,TE,10.3,9.52,9.0
2021,1,slot,QB,24.000000000000004,21.910000000000004,20.200000000000003
2021,1,slot,RB,11.3,11.502500000000001,11.75
2021,1,slot,WR,13.8,12.36,10.6
2021,1,slot,TE,9.2,9.349999999999998,9.45
