season,rank,tier,player,team,position,pos_rank,merge_name,gsis_id
2019,111.4,,Corey Davis,TEN,WR,38,corey davis,00-0033871
2019,112.8,,Curtis Samuel,CAR,WR,39,curtis samuel,00-0033282
2019,113.8,,Emmanuel Sanders,DEN,WR,40,emmanuel sanders,00-0027685
2019,114.3,,LeSean McCoy,KC,RB,41,lesean mccoy,00-0027029
2019,115.1,,Marvin Jones Jr.,DET,WR,41,marvin jones,00-0029293
2019,116.5,,Larry Fitzgerald,ARI,WR,42,larry fitzgerald,00-0022921
2019,117.7,,Andy Dalton,CIN,QB,27,andy dalton,00-0027973
2019,118.5,,Geronimo Allison,GB,WR,43,geronimo allison,00-0032626
2019,121.7,,Adrian Peterson,WAS,RB,42,adrian peterson,00-0025394
2019,122.4,,Marcus Mariota,TEN,QB,28,marcus mariota,00-0032268
2019,124.2,,Marquez Valdes-Scantling,GB,WR,44,marquez valdes-scantling,00-0034272
2019,125.0,,Courtland Sutton,DEN,WR,45,courtland sutton,00-0034348
2019,125.3,,Austin Hooper,ATL,TE,11,austin hooper,00-0032392
2019,127.1,,Ronald Jones,TB,RB,43,ronald jones,00-0034816
2019,127.2,,Devin Singletary,BUF,RB,44,devin singletary,00-0035250
2019,128.0,,Darwin Thompson,KC,RB,45,darwin thompson,00-0035148
2019,128.0,,Kalen Ballage,MIA,RB,46,kalen ballage,00-0034799
2019,128.3,,James Washington,PIT,WR,46,james washington,00-0034676
2019,129.2,,Jaylen Samuels,PIT,RB,47,jaylen samuels,00-0034331
2019,129.4,,Matt Breida,SF,RB,48,matt breida,00-0033308
2019,129.8,,Jacoby Brissett,IND,QB,29,jacoby brissett,00-0033119
2019,132.1,,Dwayne Haskins,WAS,QB,30,dwayne haskins,00-0035232
2019,132.7,,DK Metcalf,SEA,WR,47,dk metcalf,00-0035640
2019,133.1,,Joe Flacco,DEN,QB,31,joe flacco,00-0026158
2019,133.8,,N'Keal Harry,NE,WR,48,nkeal harry,00-0035624
2019,137.5,,DeSean Jackson,PHI,WR,49,desean jackson,00-0026189
2019,138.2,,Tony Pollard,DAL,RB,49,tony pollard,00-0035261
2019,138.6,,Keke Coutee,HOU,WR,50,keke coutee,00-0034366
2019,138.8,,Golden Tate,NYG,WR,51,golden tate,00-0027891
2019,142.9,,T.J. Hockenson,DET,TE,12,tj hockenson,00-0035229
2019,143.6,,Justin Jackson,LAC,RB,50,justin jackson,00-0034440
2019,144.1,,Delanie Walker,TEN,TE,13,delanie walker,00-0024389
2019,145.1,,Donte Moncrief,PIT,WR,52,donte moncrief,00-0031339
2019,145.5,,Peyton Barber,TB,RB,51,peyton barber,00-0032741
2019,145.6,,D'Onta Foreman,IND,RB,52,donta foreman,00-0033925
2019,146.7,,Ryan Fitzpatrick,MIA,QB,32,ryan fitzpatrick,00-0023682
2019,146.8,,Hakeem Butler,ARI,WR,53,hakeem butler,00-0035529
2019,148.6,,Mark Andrews,BAL,TE,14,mark andrews,00-0034753
2019,149.6,,Anthony Miller,CHI,WR,54,anthony miller,00-0034353
2019,149.7,,Carlos Hyde,HOU,RB,53,carlos hyde,00-0031045
2019,150.0,,Jimmy Graham,GB,TE,15,jimmy graham,00-0027696
2019,152.6,,Eli Manning,NYG,QB,33,eli manning,00-0022803
2019,153.7,,Greg Olsen,CAR,TE,16,greg olsen,00-0025418
2019,154.5,,Justice Hill,BAL,RB,54,justice hill,00-0034975
2019,154.9,,Dallas Goedert,PHI,TE,17,dallas goedert,00-0034351
2019,155.1,,Trey Burton,CHI,TE,18,trey burton,00-0030710
2019,155.4,,Dion Lewis,TEN,RB,55,dion lewis,00-0028087
2019,155.4,,Tyrell Williams,LV,WR,55,tyrell williams,00-0032160
2019,156.2,,Michael Gallup,DAL,WR,56,michael gallup,00-0034764
2019,156.4,,Alexander Mattison,MIN,RB,56,alexander mattison,00-0034972
2019,156.5,,CJ Anderson,DET,RB,57,cj anderson,00-0029854
2019,156.6,,Kyle Rudolph,MIN,TE,19,kyle rudolph,00-0027981
2019,157.8,,Jamison Crowder,NYJ,WR,57,jamison crowder,00-0031941
2019,158.9,,Jordan Reed,WAS,TE,20,jordan reed,00-0030472
2019,160.4,,Nyheim Hines,IND,RB,58,nyheim hines,00-0034367
2019,160.9,,Daniel Jones,NYG,QB,34,daniel jones,00-0035710
2019,161.1,,John Brown,BUF,WR,58,john brown,00-0031051
2019,161.2,,Jerick McKinnon,SF,RB,59,jerick mckinnon,00-0031376
2019,161.5,,Ito Smith,ATL,RB,60,ito smith,00-0034378
2019,161.8,,Devin Funchess,IND,WR,59,devin funchess,00-0032055
2019,162.0,,Chris Thompson,WAS,RB,61,chris thompson,00-0030404
2019,162.2,,Damien Harris,NE,RB,62,damien harris,00-0035657
2019,162.4,,Mecole Hardman,KC,WR,60,mecole hardman,00-0035140
2019,162.7,,Malcolm Brown,LAR,RB,63,malcolm brown,00-0031806
2019,163.8,,Josh Rosen,MIA,QB,35,josh rosen,00-0034343
2019,164.0,,Dare Ogunbowale,TB,RB,64,dare ogunbowale,00-0033854
2019,164.6,,Parris Campbell,IND,WR,61,parris campbell,00-0035639
2019,164.9,,Noah Fant,DEN,TE,21,noah fant,00-0035644
2019,165.9,,Tre'Quan Smith,NO,WR,62,trequan smith,00-0034765
2019,166.8,,Marquise Brown,BAL,WR,63,marquise brown,00-0035662
2019,167.6,,Mike Davis,CHI,RB,65,mike davis,00-0032063
2019,167.6,,Deebo Samuel Sr.,SF,WR,64,deebo samuel,00-0035719
2019,167.7,,DeVante Parker,MIA,WR,65,devante parker,00-0031547
2019,168.6,,Jamaal Williams,GB,RB,66,jamaal williams,00-0033948
2019,168.9,,Chris Herndon,NYJ,TE,22,chris herndon,00-0034766
2019,169.6,,Marquise Goodwin,SF,WR,66,marquise goodwin,00-0030068
2020,1.4,,Christian McCaffrey,CAR,RB,1,christian mccaffrey,00-0033280
2020,2.2,,Patrick Mahomes,KC,QB,1,patrick mahomes,00-0033873
2020,3.9,,Saquon Barkley,NYG,RB,2,saquon barkley,00-0034844
2020,4.0,,Lamar Jackson,BAL,QB,2,lamar jackson,00-0034796
2020,5.0,,Ezekiel Elliott,DAL,RB,3,ezekiel elliott,00-0033045
2020,5.9,,Alvin Kamara,NO,RB,4,alvin kamara,00-0033906
2020,7.9,,Michael Thomas,NO,WR,1,michael thomas,00-0032765
2020,7.9,,Dalvin Cook,MIN,RB,5,dalvin cook,00-0033893
2020,9.6,,Derrick Henry,TEN,RB,6,derrick henry,00-0032764
2020,11.1,,Josh Jacobs,LV,RB,7,josh jacobs,00-0035700
2020,11.9,,Russell Wilson,SEA,QB,3,russell wilson,00-0029263
2020,13.7,,Dak Prescott,DAL,QB,4,dak prescott,00-0033077
2020,14.7,,Davante Adams,GB,WR,2,davante adams,00-0031381
2020,14.7,,Kyler Murray,ARI,QB,5,kyler murray,00-0035228
2020,15.2,,Nick Chubb,CLE,RB,8,nick chubb,00-0034791
2020,16.3,,Joe Mixon,CIN,RB,9,joe mixon,00-0033897
2020,16.6,,Clyde Edwards-Helaire,KC,RB,10,clyde edwards-helaire,00-0036360
2020,17.3,,Julio Jones,ATL,WR,3,julio jones,00-0027944
2020,17.8,,Austin Ekeler,LAC,RB,11,austin ekeler,00-0033699
2020,20.0,,Tyreek Hill,KC,WR,4,tyreek hill,00-0033040
2020,20.0,,Deshaun Watson,HOU,QB,6,deshaun watson,00-0033537
2020,21.4,,Aaron Jones Sr.,GB,RB,12,aaron jones,00-0033293
2020,21.5,,Miles Sanders,PHI,RB,13,miles sanders,00-0035243
2020,23.7,,DeAndre Hopkins,ARI,WR,5,deandre hopkins,00-0030564
2020,24.2,,Travis Kelce,KC,TE,1,travis kelce,00-0030506
2020,26.1,,Chris Godwin Jr.,TB,WR,6,chris godwin,00-0033921
2020,26.7,,Kenyan Drake,ARI,RB,14,kenyan drake,00-0033118
2020,27.5,,George Kittle,SF,TE,2,george kittle,00-0033288
2020,28.9,,Drew Brees,NO,QB,7,drew brees,00-0020531
2020,29.9,,Mike Evans,TB,WR,7,mike evans,00-0031408
2020,30.5,,Kenny Golladay,DET,WR,8,kenny golladay,00-0033932
2020,31.0,,Aaron Rodgers,GB,QB,8,aaron rodgers,00-0023459
2020,32.6,,Chris Carson,SEA,RB,15,chris carson,00-0033594
2020,33.7,,Adam Thielen,MIN,WR,9,adam thielen,00-0030035
2020,33.9,,Josh Allen,BUF,QB,9,josh allen,00-0034857
2020,34.9,,Matt Ryan,ATL,QB,10,matt ryan,00-0026143
2020,35.1,,Leonard Fournette,TB,RB,16,leonard fournette,00-0033856
2020,37.5,,Odell Beckham Jr.,CLE,WR,10,odell beckham,00-0031235
2020,38.5,,Melvin Gordon III,DEN,RB,17,melvin gordon,00-0032144
2020,39.6,,Le'Veon Bell,NYJ,RB,18,leveon bell,00-0030496
2020,40.2,,Carson Wentz,PHI,QB,11,carson wentz,00-0032950
2020,41.4,,Cooper Kupp,LAR,WR,11,cooper kupp,00-0033908
2020,41.7,,Allen Robinson II,CHI,WR,12,allen robinson,00-0031428
2020,43.6,,Calvin Ridley,ATL,WR,13,calvin ridley,00-0034837
2020,44.0,,David Johnson,HOU,RB,19,david johnson,00-0032187
2020,44.1,,Amari Cooper,DAL,WR,14,amari cooper,00-0031544
2020,44.7,,Tom Brady,TB,QB,12,tom brady,00-0019596
2020,45.9,,James Conner,PIT,RB,20,james conner,00-0033553
2020,46.4,,DJ Moore,CAR,WR,15,dj moore,00-0034827
2020,48.6,,Todd Gurley II,ATL,RB,21,todd gurley,00-0032241
2020,50.1,,Robert Woods,LAR,WR,16,robert woods,00-0030431
2020,51.2,,Matthew Stafford,DET,QB,13,matthew stafford,00-0026498
2020,51.7,,Devin Singletary,BUF,RB,22,devin singletary,00-0035250
2020,52.1,,Tyler Lockett,SEA,WR,17,tyler lockett,00-0032211
2020,53.9,,Courtland Sutton,DEN,WR,18,courtland sutton,00-0034348
2020,54.0,,Daniel Jones,NYG,QB,14,daniel jones,00-0035710
2020,54.7,,Mark Andrews,BAL,TE,3,mark andrews,00-0034753
2020,55.0,,DK Metcalf,SEA,WR,19,dk metcalf,00-0035640
2020,57.3,,A.J. Brown,TEN,WR,20,aj brown,00-0035676
2020,57.8,,T.Y. Hilton,IND,WR,21,ty hilton,00-0029608
2020,59.3,,Zach Ertz,PHI,TE,4,zach ertz,00-0030061
2020,61.1,,Baker Mayfield,CLE,QB,15,baker mayfield,00-0034855
2020,62.4,,David Montgomery,CHI,RB,23,david montgomery,00-0035685
2020,62.5,,Stefon Diggs,BUF,WR,22,stefon diggs,00-0031588
2020,63.2,,Keenan Allen,LAC,WR,23,keenan allen,00-0030279
2020,64.3,,Mark Ingram II,BAL,RB,24,mark ingram,00-0027966
2020,65.1,,DJ Chark,JAX,WR,24,dj chark,00-0034777
2020,65.7,,Jared Goff,LAR,QB,16,jared goff,00-0033106
2020,67.3,,Jonathan Taylor,IND,RB,25,jonathan taylor,00-0036223
2020,67.3,,Darren Waller,LV,TE,5,darren waller,00-0031610
2020,68.6,,Jimmy Garoppolo,SF,QB,17,jimmy garoppolo,00-0031345
2020,68.8,,Terry McLaurin,WAS,WR,25,terry mclaurin,00-0035659
2020,70.9,,Kareem Hunt,CLE,RB,26,kareem hunt,00-0033923
2020,72.2,,JuJu Smith-Schuster,PIT,WR,26,juju smith-schuster,00-0033857
2020,74.1,,A.J. Green,CIN,WR,27,aj green,00-0027942
2020,74.5,,Michael Gallup,DAL,WR,28,michael gallup,00-0034764
2020,74.6,,Kerryon Johnson,DET,RB,27,kerryon johnson,00-0034349
2020,75.0,,Philip Rivers,IND,QB,18,philip rivers,00-0022942
2020,75.5,,Ronald Jones,TB,RB,28,ronald jones,00-0034816
2020,79.6,,Kirk Cousins,MIN,QB,19,kirk cousins,00-0029604
2020,80.9,,Jarvis Landry,CLE,WR,29,jarvis landry,00-0031382
2020,82.8,,Evan Engram,NYG,TE,6,evan engram,00-0033881
2020,83.6,,Marquise Brown,BAL,WR,30,marquise brown,00-0035662
2020,83.8,,Marlon Mack,IND,RB,29,marlon mack,00-0033951
2020,83.9,,Raheem Mostert,SF,RB,30,raheem mostert,00-0031687
2020,84.1,,Tyler Boyd,CIN,WR,31,tyler boyd,00-0033009
2020,84.3,,William Fuller V,HOU,WR,32,william fuller,00-0033127
2020,87.0,,J.K. Dobbins,BAL,RB,31,jk dobbins,00-0036158
2020,87.4,,Ryan Tannehill,TEN,QB,20,ryan tannehill,00-0029701
2020,88.1,,Ben Roethlisberger,PIT,QB,21,ben roethlisberger,00-0022924
2020,88.2,,Rob Gronkowski,TB,TE,7,rob gronkowski,00-0027656
2020,89.5,,DeVante Parker,MIA,WR,33,devante parker,00-0031547
2020,89.7,,Drew Lock,DEN,QB,22,drew lock,00-0035704
2020,91.3,,Brandin Cooks,HOU,WR,34,brandin cooks,00-0031236
2020,92.2,,Gardner Minshew,JAX,QB,23,gardner minshew,00-0035289
2020,94.0,,Phillip Lindsay,DEN,RB,32,phillip lindsay,00-0034109
2020,95.5,,Julian Edelman,NE,WR,35,julian edelman,00-0027150
2020,97.6,,Matt Breida,MIA,RB,33,matt breida,00-0033308
2020,98.3,,Hunter Henry,LAC,TE,8,hunter henry,00-0033090
2020,99.4,,Deebo Samuel Sr.,SF,WR,36,deebo samuel,00-0035719
2020,100.3,,Sony Michel,NE,RB,34,sony michel,00-0034845
2020,100.7,,Cam Newton,NE,QB,24,cam newton,00-0027939
2020,102.6,,CeeDee Lamb,DAL,WR,37,ceedee lamb,00-0036358
2020,104.1,,James White,NE,RB,35,james white,00-0031062
2020,104.1,,Austin Hooper,CLE,TE,9,austin hooper,00-0032392
2020,104.6,,Derek Carr,LV,QB,25,derek carr,00-0031280
2020,105.4,,Cam Akers,LAR,RB,36,cam akers,00-0036414
2020,105.6,,Christian Kirk,ARI,WR,38,christian kirk,00-0034775
2020,105.8,,D'Andre Swift,DET,RB,37,dandre swift,00-0036275
2020,106.0,,Jordan Howard,MIA,RB,38,jordan howard,00-0032780
2020,106.5,,Joe Burrow,CIN,QB,26,joe burrow,00-0036442
2020,106.8,,Marvin Jones Jr.,DET,WR,39,marvin jones,00-0029293
2020,107.9,,Teddy Bridgewater,CAR,QB,27,teddy bridgewater,00-0031237
2020,109.1,,Alexander Mattison,MIN,RB,39,alexander mattison,00-0034972
2020,112.0,,Sterling Shepard,NYG,WR,40,sterling shepard,00-0032385
2020,113.4,,Sam Darnold,NYJ,QB,28,sam darnold,00-0034869
2020,115.5,,Emmanuel Sanders,NO,WR,41,emmanuel sanders,00-0027685
2020,116.0,,Mecole Hardman,KC,WR,42,mecole hardman,00-0035140
2020,116.1,,Latavius Murray,NO,RB,40,latavius murray,00-0030513
2020,117.3,,Tarik Cohen,CHI,RB,41,tarik cohen,00-0033556
2020,118.6,,Tevin Coleman,SF,RB,42,tevin coleman,00-0032058
2020,119.2,,Noah Fant,DEN,TE,10,noah fant,00-0035644
2020,120.3,,T.J. Hockenson,DET,TE,11,tj hockenson,00-0035229
2020,121.0,,Darius Slayton,NYG,WR,43,darius slayton,00-0035535
2020,122.5,,Darrell Henderson Jr.,LAR,RB,43,darrell henderson,00-0035664
2020,122.9,,Antonio Gibson,WAS,RB,44,antonio gibson,00-0036328
2020,123.0,,John Brown,BUF,WR,44,john brown,00-0031051
2020,125.1,,Tyler Higbee,LAR,TE,12,tyler higbee,00-0033110
2020,125.6,,Diontae Johnson,PIT,WR,45,diontae johnson,00-0035216
2020,126.6,,Curtis Samuel,CAR,WR,46,curtis samuel,00-0033282
2020,128.2,,Hayden Hurst,ATL,TE,13,hayden hurst,00-0034830
2020,130.2,,Zack Moss,BUF,RB,45,zack moss,00-0036251
2020,130.3,,Henry Ruggs III,LV,WR,47,henry ruggs,00-0036357
2020,132.5,,Jamison Crowder,NYJ,WR,48,jamison crowder,00-0031941
2020,134.1,,Dwayne Haskins,WAS,QB,29,dwayne haskins,00-0035232
2020,135.1,,Mike Williams,LAC,WR,49,mike williams,00-0033536
2020,136.0,,Sammy Watkins,KC,WR,50,sammy watkins,00-0031325
2020,137.8,,Adrian Peterson,DET,RB,46,adrian peterson,00-0025394
2020,139.4,,Chase Edmonds,ARI,RB,47,chase edmonds,00-0034681
2020,140.0,,Tony Pollard,DAL,RB,48,tony pollard,00-0035261
2020,142.1,,N'Keal Harry,NE,WR,51,nkeal harry,00-0035624
2020,142.2,,Damien Harris,NE,RB,49,damien harris,00-0035657
2020,142.4,,Anthony Miller,CHI,WR,52,anthony miller,00-0034353
2020,143.1,,Tyrod Taylor,LAC,QB,30,tyrod taylor,00-0028118
2020,146.3,,Alshon Jeffery,PHI,WR,53,alshon jeffery,00-0029137
2020,147.8,,Ryan Fitzpatrick,MIA,QB,31,ryan fitzpatrick,00-0023682
2020,148.2,,Tua Tagovailoa,MIA,QB,32,tua tagovailoa,00-0036212
2020,148.4,,Golden Tate,NYG,WR,54,golden tate,00-0027891
2020,148.7,,Duke Johnson,HOU,RB,50,duke johnson,00-0032257
2020,149.1,,Jared Cook,NO,TE,14,jared cook,00-0027061
2020,151.0,,Jerick McKinnon,SF,RB,51,jerick mckinnon,00-0031376
2020,152.4,,Mike Gesicki,MIA,TE,15,mike gesicki,00-0034829
2020,152.7,,Nyheim Hines,IND,RB,52,nyheim hines,00-0034367
2020,152.8,,Jerry Jeudy,DEN,WR,55,jerry jeudy,00-0036407
2020,153.9,,Jalen Reagor,PHI,WR,56,jalen reagor,00-0036387
2020,154.1,,Damien Williams,KC,RB,53,damien williams,00-0030874
2020,154.3,,Preston Williams,MIA,WR,57,preston williams,00-0035350
2020,155.4,,Justin Herbert,LAC,QB,33,justin herbert,00-0036355
2020,155.8,,A.J. Dillon,GB,RB,54,aj dillon,00-0036265
2020,155.8,,Nick Foles,CHI,QB,34,nick foles,00-0029567
2020,156.0,,Ke'Shawn Vaughn,TB,RB,55,keshawn vaughn,00-0036450
2020,156.4,,Dallas Goedert,PHI,TE,16,dallas goedert,00-0034351
2020,157.1,,Chris Herndon,NYJ,TE,17,chris herndon,00-0034766
2020,157.2,,Boston Scott,PHI,RB,56,boston scott,00-0034414
2020,157.3,,Jonnu Smith,TEN,TE,18,jonnu smith,00-0033858
2020,157.8,,Parris Campbell,IND,WR,58,parris campbell,00-0035639
2020,157.8,,Bryce Love,WAS,RB,57,bryce love,00-0035256
2020,157.9,,Justin Jefferson,MIN,WR,59,justin jefferson,00-0036322
2020,159.8,,O.J. Howard,TB,TE,19,oj howard,00-0033879
2020,160.5,,Blake Jarwin,DAL,TE,20,blake jarwin,00-0033658
2020,161.1,,Justin Jackson,LAC,RB,58,justin jackson,00-0034440
2020,161.1,,DeSean Jackson,PHI,WR,60,desean jackson,00-0026189
2020,161.4,,Robbie Chosen,CAR,WR,61,robbie chosen,00-0032688
2020,162.1,,Breshad Perriman,NYJ,WR,62,breshad perriman,00-0032054
2020,164.8,,Larry Fitzgerald,ARI,WR,63,larry fitzgerald,00-0022921
2020,165.3,,Jamaal Williams,GB,RB,59,jamaal williams,00-0033948
2020,165.5,,Brandon Aiyuk,SF,WR,64,brandon aiyuk,00-0036261
2020,165.7,,Allen Lazard,GB,WR,65,allen lazard,00-0034521
2021,1.4,,Christian McCaffrey,CAR,RB,1,christian mccaffrey,00-0033280
2021,2.3,,Patrick Mahomes,KC,QB,1,patrick mahomes,00-0033873
2021,3.3,,Dalvin Cook,MIN,RB,2,dalvin cook,00-0033893
2021,4.4,,Alvin Kamara,NO,RB,3,alvin kamara,00-0033906
2021,4.5,,Josh Allen,BUF,QB,2,josh allen,00-0034857
2021,5.6,,Derrick Henry,TEN,RB,4,derrick henry,00-0032764
2021,6.3,,Kyler Murray,ARI,QB,3,kyler murray,00-0035228
2021,8.3,,Ezekiel Elliott,DAL,RB,5,ezekiel elliott,00-0033045
2021,8.8,,Davante Adams,GB,WR,1,davante adams,00-0031381
2021,9.8,,Lamar Jackson,BAL,QB,4,lamar jackson,00-0034796
2021,10.4,,Travis Kelce,KC,TE,1,travis kelce,00-0030506
2021,11.4,,Aaron Jones Sr.,GB,RB,6,aaron jones,00-0033293
2021,12.9,,Aaron Rodgers,GB,QB,5,aaron rodgers,00-0023459
2021,12.9,,Nick Chubb,CLE,RB,7,nick chubb,00-0034791
2021,15.2,,Tyreek Hill,KC,WR,2,tyreek hill,00-0033040
2021,15.3,,Austin Ekeler,LAC,RB,8,austin ekeler,00-0033699
2021,15.7,,Dak Prescott,DAL,QB,6,dak prescott,00-0033077
2021,17.1,,Russell Wilson,SEA,QB,7,russell wilson,00-0029263
2021,17.6,,Jonathan Taylor,IND,RB,9,jonathan taylor,00-0036223
2021,17.9,,Saquon Barkley,NYG,RB,10,saquon barkley,00-0034844
2021,19.4,,Najee Harris,PIT,RB,11,najee harris,00-0036893
2021,21.2,,Stefon Diggs,BUF,WR,3,stefon diggs,00-0031588
2021,21.6,,Justin Herbert,LAC,QB,8,justin herbert,00-0036355
2021,23.2,,Antonio Gibson,WAS,RB,12,antonio gibson,00-0036328
2021,24.8,,DeAndre Hopkins,ARI,WR,4,deandre hopkins,00-0030564
2021,25.2,,Tom Brady,TB,QB,9,tom brady,00-0019596
2021,26.4,,Calvin Ridley,ATL,WR,5,calvin ridley,00-0034837
2021,27.0,,DK Metcalf,SEA,WR,6,dk metcalf,00-0035640
2021,27.3,,Darren Waller,LV,TE,2,darren waller,00-0031610
2021,27.6,,Clyde Edwards-Helaire,KC,RB,13,clyde edwards-helaire,00-0036360
2021,29.8,,Joe Mixon,CIN,RB,14,joe mixon,00-0033897
2021,30.8,,Matthew Stafford,LAR,QB,10,matthew stafford,00-0026498
2021,31.6,,Justin Jefferson,MIN,WR,7,justin jefferson,00-0036322
2021,33.0,,Ryan Tannehill,TEN,QB,11,ryan tannehill,00-0029701
2021,33.9,,A.J. Brown,TEN,WR,8,aj brown,00-0035676
2021,34.4,,David Montgomery,CHI,RB,15,david montgomery,00-0035685
2021,36.3,,George Kittle,SF,TE,3,george kittle,00-0033288
2021,36.8,,Jalen Hurts,PHI,QB,12,jalen hurts,00-0036389
2021,37.1,,Keenan Allen,LAC,WR,9,keenan allen,00-0030279
2021,37.2,,Chris Carson,SEA,RB,16,chris carson,00-0033594
2021,39.1,,CeeDee Lamb,DAL,WR,10,ceedee lamb,00-0036358
2021,40.7,,Terry McLaurin,WAS,WR,11,terry mclaurin,00-0035659
2021,41.1,,James Robinson,JAX,RB,17,james robinson,00-0035831
2021,43.0,,Josh Jacobs,LV,RB,18,josh jacobs,00-0035700
2021,43.9,,Joe Burrow,CIN,QB,13,joe burrow,00-0036442
2021,44.3,,Allen Robinson II,CHI,WR,12,allen robinson,00-0031428
2021,46.3,,Kyle Pitts Sr.,ATL,TE,4,kyle pitts,00-0036970
2021,47.1,,D'Andre Swift,DET,RB,19,dandre swift,00-0036275
2021,47.3,,Mike Evans,TB,WR,13,mike evans,00-0031408
2021,48.6,,Matt Ryan,ATL,QB,14,matt ryan,00-0026143
2021,49.6,,Robert Woods,LAR,WR,14,robert woods,00-0030431
2021,50.0,,Miles Sanders,PHI,RB,20,miles sanders,00-0035243
2021,51.0,,Trevor Lawrence,JAX,QB,15,trevor lawrence,00-0036971
2021,52.0,,Myles Gaskin,MIA,RB,21,myles gaskin,00-0035311
2021,52.7,,Amari Cooper,DAL,WR,15,amari cooper,00-0031544
2021,54.0,,Darrell Henderson Jr.,LAR,RB,22,darrell henderson,00-0035664
2021,55.7,,Chris Godwin Jr.,TB,WR,16,chris godwin,00-0033921
2021,55.7,,Baker Mayfield,CLE,QB,16,baker mayfield,00-0034855
2021,57.7,,Mark Andrews,BAL,TE,5,mark andrews,00-0034753
2021,57.7,,Julio Jones,TEN,WR,17,julio jones,00-0027944
2021,58.2,,Mike Davis,ATL,RB,23,mike davis,00-0032063
2021,60.0,,Cooper Kupp,LAR,WR,18,cooper kupp,00-0033908
2021,60.7,,Diontae Johnson,PIT,WR,19,diontae johnson,00-0035216
2021,60.8,,T.J. Hockenson,DET,TE,6,tj hockenson,00-0035229
2021,62.2,,Kirk Cousins,MIN,QB,17,kirk cousins,00-0029604
2021,63.7,,Tyler Lockett,SEA,WR,20,tyler lockett,00-0032211
2021,64.4,,Javonte Williams,DEN,RB,24,javonte williams,00-0036997
2021,65.6,,Damien Harris,NE,RB,25,damien harris,00-0035657
2021,66.8,,Tua Tagovailoa,MIA,QB,18,tua tagovailoa,00-0036212
2021,66.9,,Raheem Mostert,SF,RB,26,raheem mostert,00-0031687
2021,67.1,,Kareem Hunt,CLE,RB,27,kareem hunt,00-0033923
2021,68.5,,Gus Edwards,BAL,RB,28,gus edwards,00-0034184
2021,68.5,,Adam Thielen,MIN,WR,21,adam thielen,00-0030035
2021,71.0,,Justin Fields,CHI,QB,19,justin fields,00-0036945
2021,71.9,,Ben Roethlisberger,PIT,QB,20,ben roethlisberger,00-0022924
2021,72.1,,Brandon Aiyuk,SF,WR,22,brandon aiyuk,00-0036261
2021,75.6,,Logan Thomas,WAS,TE,7,logan thomas,00-0031260
2021,75.6,,DJ Moore,CAR,WR,23,dj moore,00-0034827
2021,75.7,,Ryan Fitzpatrick,WAS,QB,21,ryan fitzpatrick,00-0023682
2021,77.1,,Trey Lance,SF,QB,22,trey lance,00-0037012
2021,78.3,,Michael Thomas,NO,WR,24,michael thomas,00-0032765
2021,78.6,,Tee Higgins,CIN,WR,25,tee higgins,00-0036410
2021,79.4,,Chase Edmonds,ARI,RB,29,chase edmonds,00-0034681
2021,82.0,,Jerry Jeudy,DEN,WR,26,jerry jeudy,00-0036407
2021,82.5,,Trey Sermon,SF,RB,30,trey sermon,00-0036984
2021,83.9,,Jameis Winston,NO,QB,23,jameis winston,00-0031503
2021,84.1,,Odell Beckham Jr.,CLE,WR,27,odell beckham,00-0031235
2021,85.1,,Chase Claypool,PIT,WR,28,chase claypool,00-0036326
2021,87.9,,Antonio Brown,TB,WR,29,antonio brown,00-0027793
2021,88.2,,Noah Fant,DEN,TE,8,noah fant,00-0035644
2021,88.7,,Melvin Gordon III,DEN,RB,31,melvin gordon,00-0032144
2021,89.4,,Derek Carr,LV,QB,24,derek carr,00-0031280
2021,91.9,,Robert Tonyan,GB,TE,9,robert tonyan,00-0033757
2021,92.0,,Michael Carter,NYJ,RB,32,michael carter,00-0036924
2021,92.8,,Ronald Jones,TB,RB,33,ronald jones,00-0034816
2021,94.1,,DeVonta Smith,PHI,WR,30,devonta smith,00-0036912
2021,94.9,,Ja'Marr Chase,CIN,WR,31,jamarr chase,00-0036900
2021,95.1,,Deshaun Watson,HOU,QB,25,deshaun watson,00-0033537
2021,95.7,,A.J. Dillon,GB,RB,34,aj dillon,00-0036265
2021,95.8,,Kenny Golladay,NYG,WR,32,kenny golladay,00-0033932
2021,97.6,,Carson Wentz,IND,QB,26,carson wentz,00-0032950
2021,98.0,,Courtland Sutton,DEN,WR,33,courtland sutton,00-0034348
2021,100.0,,Deebo Samuel Sr.,SF,WR,34,deebo samuel,00-0035719
2021,100.1,,Zack Moss,BUF,RB,35,zack moss,00-0036251
2021,100.6,,Robbie Chosen,CAR,WR,35,robbie chosen,00-0032688
2021,102.1,,Leonard Fournette,TB,RB,36,leonard fournette,00-0033856
2021,102.5,,Sony Michel,LAR,RB,37,sony michel,00-0034845
2021,103.8,,Devin Singletary,BUF,RB,38,devin singletary,00-0035250
2021,104.1,,Dallas Goedert,PHI,TE,10,dallas goedert,00-0034351
2021,104.9,,Tyler Higbee,LAR,TE,11,tyler higbee,00-0033110
2021,106.9,,JuJu Smith-Schuster,PIT,WR,36,juju smith-schuster,00-0033857
2021,107.4,,Sam Darnold,CAR,QB,27,sam darnold,00-0034869
2021,108.7,,Tyler Boyd,CIN,WR,37,tyler boyd,00-0033009
