team,player,position,current_salary,real_salary,extension_salary,years_remaining,ps_eligible,has_been_extended,has_been_tagged,contract_eligible,extension_eligible,tag_eligible,contract_type_bucket,needs_schedule_validation
Kermit,Ben Sinnott,TE,1.0,1.0,2.0,1,True,False,False,False,True,False,standard,False
Kermit,Pat Bryant,WR,1.0,1.0,2.0,2,True,False,False,False,False,False,standard,False
Kermit,DJ Giddens,RB,1.0,1.0,2.0,2,True,False,False,False,False,False,standard,False
Grayson  | Bargain Bin,Jordan Love,QB,10.0,10.0,11.0,1,False,False,False,False,True,False,standard,False
Grayson  | Bargain Bin,Jonathan Taylor,RB,22.0,22.0,49.0,1,False,False,False,False,True,False,standard,False
Grayson  | Bargain Bin,Chase Brown,RB,54.0,54.0,60.0,2,False,False,False,False,False,False,standard,False
Grayson  | Bargain Bin,Tee Higgins,WR,27.0,27.0,30.0,1,False,False,False,False,True,False,standard,False
Grayson  | Bargain Bin,Drake London,WR,39.0,39.0,43.0,2,False,False,False,False,False,False,standard,False
Grayson  | Bargain Bin,Wan'Dale Robinson,WR,3.0,3.0,12.0,2,False,False,False,False,False,False,standard,False
Grayson  | Bargain Bin,Isaiah Likely,TE,4.0,4.0,5.0,3,False,False,False,False,False,False,standard,False
Grayson  | Bargain Bin,Davante Adams,WR,27.0,27.0,30.0,3,False,True,False,False,False,False,instrument_adjusted,True
Grayson  | Bargain Bin,Travis Etienne Jr.,RB,11.0,11.0,19.0,1,False,False,False,False,True,False,standard,False
Grayson  | Bargain Bin,Daniel Jones,QB,2.0,2.0,10.0,1,False,False,False,False,True,False,standard,False
Grayson  | Bargain Bin,Kyle Monangai,RB,8.0,8.0,9.0,1,False,False,False,False,True,False,standard,False
Grayson  | Bargain Bin,Kyler Murray,QB,21.0,21.0,24.0,2,False,True,False,False,False,False,instrument_adjusted,True
Grayson  | Bargain Bin,Malik Washington,WR,2.0,2.0,3.0,1,True,False,False,False,True,False,standard,False
Grayson  | Bargain Bin,Xavier Worthy,WR,10.0,10.0,11.0,1,False,False,False,False,True,False,standard,False
Grayson  | Bargain Bin,Will Howard,QB,1.0,1.0,2.0,2,True,False,False,False,False,False,standard,False
Grayson  | Bargain Bin,Jermaine Burton,WR,1.0,2.0,3.0,1,True,False,False,False,True,False,standard,False
Grayson  | Bargain Bin,Audric Estimé,RB,1.0,1.0,2.0,1,True,False,False,False,True,False,standard,False
Turner | Banana Breath,Jalen Hurts,QB,61.0,61.0,68.0,1,False,True,False,False,False,False,instrument_adjusted,True
Turner | Banana Breath,Ashton Jeanty,RB,16.0,16.0,18.0,2,False,False,False,False,False,False,standard,False
Turner | Banana Breath,Derrick Henry,RB,46.0,46.0,51.0,2,False,True,False,False,False,False,instrument_adjusted,True
Turner | Banana Breath,Ladd McConkey,WR,6.0,6.0,13.0,1,False,False,False,False,True,False,standard,False
Turner | Banana Breath,Courtland Sutton,WR,5.0,5.0,20.0,1,False,False,False,False,True,False,standard,False
Turner | Banana Breath,Brock Bowers,TE,10.0,10.0,17.0,1,False,False,False,False,True,False,standard,False
Turner | Banana Breath,Quinshon Judkins,RB,11.0,11.0,13.0,2,False,False,False,False,False,False,standard,False
Turner | Banana Breath,Patrick Mahomes,QB,47.0,47.0,52.0,1,False,False,False,False,True,False,standard,False
Turner | Banana Breath,Travis Hunter,WR,14.0,14.0,16.0,2,False,False,False,False,False,False,standard,False
Turner | Banana Breath,Jacory Croskey-Merritt,RB,2.0,2.0,3.0,2,False,False,False,False,False,False,standard,False
Turner | Banana Breath,Zach Charbonnet,RB,6.0,6.0,7.0,3,False,True,False,False,False,False,instrument_adjusted,True
Turner | Banana Breath,Dalton Kincaid,TE,4.0,4.0,5.0,2,False,True,False,False,False,False,instrument_adjusted,True
Turner | Banana Breath,Michael Penix Jr.,QB,5.0,5.0,6.0,1,False,False,False,False,True,False,standard,False
Turner | Banana Breath,RJ Harvey,RB,9.0,9.0,10.0,2,False,False,False,False,False,False,standard,False
Turner | Banana Breath,J.J. McCarthy,QB,2.0,8.0,9.0,1,True,False,False,False,True,False,standard,False
Slow Striders,Jared Goff,QB,11.0,11.0,15.0,3,False,True,False,False,False,False,instrument_adjusted,True
Slow Striders,De'Von Achane,RB,50.0,50.0,55.0,2,False,False,False,False,False,False,standard,False
Slow Striders,Puka Nacua,WR,40.0,40.0,63.0,2,False,True,False,False,False,False,instrument_adjusted,True
Slow Striders,Chris Godwin,WR,15.0,15.0,17.0,1,False,False,False,False,True,False,standard,False
Slow Striders,Tyler Warren,TE,5.0,5.0,6.0,2,False,False,False,False,False,False,standard,False
Slow Striders,D'Andre Swift,RB,7.0,7.0,21.0,1,False,False,False,False,True,False,standard,False
Slow Striders,Dak Prescott,QB,16.0,16.0,18.0,2,False,False,False,False,False,False,standard,False
Slow Striders,Brandon Aiyuk,WR,15.0,15.0,17.0,1,False,False,False,False,True,False,standard,False
Slow Striders,Zay Flowers,WR,11.0,11.0,16.0,2,False,True,False,False,False,False,instrument_adjusted,True
Slow Striders,Isaac Guerendo,RB,1.0,1.0,2.0,1,True,False,False,False,True,False,standard,False
Slow Striders,Ray Davis,RB,1.0,2.0,3.0,1,True,False,False,False,True,False,standard,False
Slow Striders,Cam Ward,QB,3.0,10.0,11.0,2,True,False,False,False,False,False,standard,False
Slow Striders,Jalen Milroe,QB,1.0,4.0,5.0,2,True,False,False,False,False,False,standard,False
Slow Striders,Savion Williams,WR,1.0,1.0,2.0,2,True,False,False,False,False,False,standard,False
BG | 2 Rice 2 Addison,Jaxson Dart,QB,5.0,5.0,9.0,2,False,False,False,False,False,False,standard,False
BG | 2 Rice 2 Addison,TreVeyon Henderson,RB,11.0,11.0,13.0,2,False,False,False,False,False,False,standard,False
BG | 2 Rice 2 Addison,Breece Hall,RB,25.0,25.0,28.0,1,False,False,False,False,True,False,standard,False
BG | 2 Rice 2 Addison,Rashee Rice,WR,21.0,21.0,31.0,1,False,False,False,False,True,False,standard,False
BG | 2 Rice 2 Addison,Tetairoa McMillan,WR,9.0,9.0,11.0,2,False,False,False,False,False,False,standard,False
BG | 2 Rice 2 Addison,Emeka Egbuka,WR,5.0,5.0,7.0,2,False,False,False,False,False,False,standard,False
BG | 2 Rice 2 Addison,Harold Fannin Jr.,TE,3.0,3.0,7.0,3,False,False,False,False,False,False,standard,False
BG | 2 Rice 2 Addison,Ricky Pearsall,WR,5.0,5.0,6.0,1,False,False,False,False,True,False,standard,False
BG | 2 Rice 2 Addison,Jameson Williams,WR,3.0,3.0,15.0,2,False,True,False,False,False,False,instrument_adjusted,True
BG | 2 Rice 2 Addison,Brock Purdy,QB,24.0,24.0,27.0,1,False,False,False,False,True,False,standard,False
BG | 2 Rice 2 Addison,C.J. Stroud,QB,4.0,4.0,5.0,1,False,False,False,False,True,False,standard,False
BG | 2 Rice 2 Addison,Blake Corum,RB,3.0,3.0,4.0,1,False,False,False,False,True,False,standard,False
BG | 2 Rice 2 Addison,Tyler Allgeier,RB,8.0,8.0,9.0,1,False,False,False,False,True,False,standard,False
BG | 2 Rice 2 Addison,Jonathon Brooks,RB,2.0,6.0,7.0,1,True,False,False,False,True,False,standard,False
BG | 2 Rice 2 Addison,Bhayshul Tuten,RB,1.0,4.0,5.0,2,True,False,False,False,False,False,standard,False
BG | 2 Rice 2 Addison,Jaylin Noel,WR,1.0,2.0,3.0,2,True,False,False,False,False,False,standard,False
BG | 2 Rice 2 Addison,Colston Loveland,TE,1.0,4.0,5.0,2,True,False,False,False,False,False,standard,False
BG | 2 Rice 2 Addison,Jaydon Blue,RB,1.0,2.0,3.0,2,True,False,False,False,False,False,standard,False
BG | 2 Rice 2 Addison,Jalen McMillan,WR,1.0,1.0,4.0,1,True,False,False,False,True,False,standard,False
BG | 2 Rice 2 Addison,Luther Burden III,WR,2.0,6.0,7.0,2,True,False,False,False,False,False,standard,False
BG | 2 Rice 2 Addison,Kyle Williams,WR,1.0,2.0,3.0,2,True,False,False,False,False,False,standard,False
Box of Broken Toys,Isiah Pacheco,RB,12.0,12.0,14.0,2,False,True,False,False,False,False,instrument_adjusted,True
Box of Broken Toys,Jayden Reed,WR,14.0,14.0,16.0,2,False,True,False,False,False,False,instrument_adjusted,True
Box of Broken Toys,Marvin Mims Jr.,WR,5.0,5.0,6.0,3,False,False,False,False,False,False,standard,False
Box of Broken Toys,Dallas Goedert,TE,7.0,7.0,10.0,1,False,True,False,False,False,False,instrument_adjusted,True
Box of Broken Toys,Rashid Shaheed,WR,9.0,9.0,10.0,2,False,False,False,False,False,False,standard,False
Box of Broken Toys,Jayden Higgins,WR,5.0,5.0,6.0,2,False,False,False,False,False,False,standard,False
Box of Broken Toys,Joe Burrow,QB,29.0,29.0,32.0,1,False,False,False,False,True,False,standard,False
Box of Broken Toys,Adam Thielen,WR,6.0,6.0,7.0,1,False,False,False,False,True,False,standard,False
Box of Broken Toys,Cam Skattebo,RB,5.0,5.0,26.0,2,True,False,False,False,False,False,standard,False
Box of Broken Toys,Tory Horton,WR,1.0,1.0,2.0,2,True,False,False,False,False,False,standard,False
Box of Broken Toys,Xavier Legette,WR,1.0,4.0,5.0,1,True,False,False,False,True,False,standard,False
Box of Broken Toys,Dont'e Thornton Jr.,WR,2.0,6.0,7.0,2,True,False,False,False,False,False,standard,False
Box of Broken Toys,Jaylin Lane,WR,1.0,3.0,4.0,1,True,False,False,False,True,False,standard,False
Box of Broken Toys,Jordan James,RB,1.0,3.0,4.0,3,True,False,False,False,False,False,standard,False
Box of Broken Toys,Roman Wilson,WR,1.0,2.0,3.0,1,True,False,False,False,True,False,standard,False
Box of Broken Toys,Dylan Sampson,RB,1.0,2.0,3.0,2,True,False,False,False,False,False,standard,False
Box of Broken Toys,Isaac TeSlaa,WR,2.0,8.0,9.0,1,True,False,False,False,True,False,standard,False
AJJ | Turf Titans,Caleb Williams,QB,18.0,18.0,20.0,1,False,False,False,False,True,False,standard,False
AJJ | Turf Titans,Tyjae Spears,RB,4.0,4.0,5.0,1,False,False,False,False,True,False,standard,False
AJJ | Turf Titans,Omarion Hampton,RB,14.0,14.0,17.0,2,False,False,False,False,False,False,standard,False
AJJ | Turf Titans,Malik Nabers,WR,16.0,16.0,27.0,1,False,False,False,False,True,False,standard,False
AJJ | Turf Titans,Brian Thomas Jr.,WR,6.0,6.0,17.0,1,False,False,False,False,True,False,standard,False
AJJ | Turf Titans,Rome Odunze,WR,13.0,13.0,15.0,1,False,False,False,False,True,False,standard,False
AJJ | Turf Titans,Dalton Schultz,TE,2.0,2.0,3.0,1,False,False,False,False,True,False,standard,False
AJJ | Turf Titans,DK Metcalf,WR,24.0,24.0,27.0,1,False,False,False,False,True,False,standard,False
AJJ | Turf Titans,Matthew Golden,WR,5.0,5.0,6.0,2,False,False,False,False,False,False,standard,False
AJJ | Turf Titans,Jalen Coker,WR,2.0,2.0,3.0,2,False,False,False,False,False,False,standard,False
AJJ | Turf Titans,Woody Marks,RB,2.0,2.0,6.0,2,False,False,False,False,False,False,standard,False
AJJ | Turf Titans,Deebo Samuel Sr.,WR,27.0,27.0,30.0,1,False,False,False,False,True,False,standard,False
AJJ | Turf Titans,Tre Harris,WR,1.0,4.0,5.0,2,True,False,False,False,False,False,standard,False
AJJ | Turf Titans,Brashard Smith,RB,1.0,1.0,2.0,2,True,False,False,False,False,False,standard,False
