player,team,position,current_salary,real_salary,years_remaining,cap_today_current,cap_y0,cap_y1,cap_y2,cap_y3,pv_cap,dead_money_cut_now_nominal,dead_money_cut_now_pv,schedule_source,needs_schedule_validation
Kaleb Johnson,John | Turbo Team,RB,2.0,8.0,2,2.0,8.0,9.0,0.0,0.0,15.2,11.0,10.4,standard_rule,False
Jack Bech,John | Turbo Team,WR,1.0,2.0,2,1.0,2.0,3.0,0.0,0.0,4.4,3.0,2.8,standard_rule,False
Terrance Ferguson,John | Turbo Team,TE,1.0,2.0,2,1.0,2.0,3.0,0.0,0.0,4.4,3.0,2.8,standard_rule,False
Elic Ayomanor,John | Turbo Team,WR,1.0,2.0,2,1.0,2.0,3.0,0.0,0.0,4.4,3.0,2.8,standard_rule,False
Trevor Etienne,John | Turbo Team,RB,1.0,1.0,2,1.0,1.0,2.0,0.0,0.0,2.6,2.0,1.8,standard_rule,False
Ollie Gordon II,John | Turbo Team,RB,1.0,1.0,2,1.0,1.0,2.0,0.0,0.0,2.6,2.0,1.8,standard_rule,False
Josh Allen,Kermit,QB,70.0,70.0,2,70.0,70.0,77.0,0.0,0.0,131.6,90.0,86.0,best_effort_instrument,True
Josh Jacobs,Kermit,RB,40.0,40.0,2,40.0,40.0,44.0,0.0,0.0,75.2,51.0,48.8,best_effort_instrument,True
Chuba Hubbard,Kermit,RB,39.0,39.0,1,39.0,39.0,0.0,0.0,0.0,39.0,39.0,39.0,standard_rule,False
Jaylen Waddle,Kermit,WR,28.0,28.0,1,28.0,28.0,0.0,0.0,0.0,28.0,28.0,28.0,standard_rule,False
George Kittle,Kermit,TE,14.0,14.0,1,14.0,14.0,0.0,0.0,0.0,14.0,14.0,14.0,best_effort_instrument,True
Trevor Lawrence,Kermit,QB,36.0,36.0,1,36.0,36.0,0.0,0.0,0.0,36.0,36.0,36.0,standard_rule,False
Tyler Shough,Kermit,QB,2.0,2.0,2,2.0,2.0,3.0,0.0,0.0,4.4,3.0,2.8,standard_rule,False
