player,team,position,pv_tv,pv_cap,surplus_value,cap_today_current,dead_money_cut_now_nominal,dead_money_cut_now_pv,needs_schedule_validation
Jordan Love,Grayson  | Bargain Bin,QB,56.13350741716075,10.0,46.13350741716075,10.0,10.0,10.0,False
Kyler Murray,Grayson  | Bargain Bin,QB,33.08332088017,40.2,-7.116679119830003,21.0,27.0,25.8,True
Chase Brown,Grayson  | Bargain Bin,RB,95.26442738237365,102.0,-6.735572617626346,54.0,69.0,66.0,False
Jonathan Taylor,Grayson  | Bargain Bin,RB,183.17344370022886,22.0,161.17344370022886,22.0,22.0,22.0,False
Kyle Monangai,Grayson  | Bargain Bin,RB,28.717496304935864,8.0,20.717496304935864,8.0,8.0,8.0,False
Travis Etienne Jr.,Grayson  | Bargain Bin,RB,55.41342547643452,11.0,44.41342547643452,11.0,11.0,11.0,False
Isaiah Likely,Grayson  | Bargain Bin,TE,0.39012283862963126,11.84,-11.449877161370368,4.0,7.0,6.4,False
Davante Adams,Grayson  | Bargain Bin,WR,62.99046924170254,72.12,-9.129530758297463,27.0,42.0,39.0,True
Drake London,Grayson  | Bargain Bin,WR,119.82442705991895,73.4,46.42442705991894,39.0,50.0,47.8,False
Malik Washington,Grayson  | Bargain Bin,WR,-0.4263608690886366,2.0,-2.4263608690886365,2.0,2.0,2.0,False
Tee Higgins,Grayson  | Bargain Bin,WR,94.36672224396807,27.0,67.36672224396807,27.0,27.0,27.0,False
Wan'Dale Robinson,Grayson  | Bargain Bin,WR,23.215071635259974,6.2,17.015071635259975,3.0,4.0,3.8,False
Xavier Worthy,Grayson  | Bargain Bin,WR,0.19955430667336138,10.0,-9.800445693326639,10.0,10.0,10.0,False
Bo Nix,John | Turbo Team,QB,89.88379889838751,6.0,83.88379889838751,6.0,6.0,6.0,False
Justin Herbert,John | Turbo Team,QB,117.58362598594931,47.4,70.1836259859493,25.0,32.0,30.6,False
Jahmyr Gibbs,John | Turbo Team,RB,235.04137363490457,96.0,139.04137363490457,96.0,96.0,96.0,True
Kaleb Johnson,John | Turbo Team,RB,8.53958486149406,15.2,-6.66041513850594,2.0,11.0,10.4,False
Kenneth Walker III,John | Turbo Team,RB,93.16467050372748,34.0,59.16467050372748,18.0,23.0,22.0,True
Ollie Gordon II,John | Turbo Team,RB,8.53958486149406,2.6,5.93958486149406,1.0,2.0,1.8,False
Trevor Etienne,John | Turbo Team,RB,4.4538331123543164,2.6,1.8538331123543164,1.0,2.0,1.8,False
Brenton Strange,John | Turbo Team,TE,0.39012283862963126,9.4,-9.009877161370369,3.0,5.0,4.6,False
Kyle Pitts,John | Turbo Team,TE,5.226736554107214,30.4,-25.173263445892786,16.0,21.0,20.0,True
Terrance Ferguson,John | Turbo Team,TE,0.39012283862963126,4.4,-4.009877161370369,1.0,3.0,2.8,False
Amon-Ra St. Brown,John | Turbo Team,WR,227.52690344949602,111.32,116.20690344949602,39.0,61.0,56.6,True
Elic Ayomanor,John | Turbo Team,WR,0.015757019691205673,4.4,-4.384242980308795,1.0,3.0,2.8,False
Jack Bech,John | Turbo Team,WR,-0.4263608690886366,4.4,-4.826360869088637,1.0,3.0,2.8,False
Jaxon Smith-Njigba,John | Turbo Team,WR,227.52690344949602,7.0,220.52690344949602,7.0,7.0,7.0,False
Nico Collins,John | Turbo Team,WR,109.7721256014563,69.8,39.9721256014563,37.0,48.0,45.8,False
Josh Allen,Kermit,QB,245.61427079346018,131.6,114.01427079346018,70.0,90.0,86.0,True
Trevor Lawrence,Kermit,QB,89.88379889838751,36.0,53.88379889838751,36.0,36.0,36.0,False
Tyler Shough,Kermit,QB,37.47773934215548,4.4,33.07773934215548,2.0,3.0,2.8,False
Chuba Hubbard,Kermit,RB,28.717496304935864,39.0,-10.282503695064136,39.0,39.0,39.0,False
DJ Giddens,Kermit,RB,4.4538331123543164,2.6,1.8538331123543164,1.0,2.0,1.8,False
Josh Jacobs,Kermit,RB,93.16467050372748,75.2,17.964670503727476,40.0,51.0,48.8,True
Ben Sinnott,Kermit,TE,-1.6236455521290463,1.0,-2.6236455521290463,1.0,1.0,1.0,False
George Kittle,Kermit,TE,0.39012283862963126,14.0,-13.609877161370369,14.0,14.0,14.0,True
Adonai Mitchell,Kermit,WR,0.015757019691205673,4.4,-4.384242980308795,2.0,3.0,2.8,False
Jaylen Waddle,Kermit,WR,52.877588317237056,28.0,24.877588317237056,28.0,28.0,28.0,False
Pat Bryant,Kermit,WR,0.015757019691205673,2.6,-2.5842429803087943,1.0,2.0,1.8,False
Troy Franklin,Kermit,WR,0.015757019691205673,4.0,-3.984242980308794,1.0,4.0,4.0,False
Bryce Young,Mike Vick In A Box,QB,14.89252005059542,48.08,-33.187479949404576,18.0,28.0,26.0,False
Shedeur Sanders,Mike Vick In A Box,QB,13.394031776692426,8.0,5.394031776692426,1.0,6.0,5.6,False
Bucky Irving,Mike Vick In A Box,RB,55.41342547643452,3.0,52.41342547643452,3.0,3.0,3.0,False
Devin Neal,Mike Vick In A Box,RB,8.53958486149406,4.4,4.139584861494059,1.0,3.0,2.8,False
Jarquez Hunter,Mike Vick In A Box,RB,4.4538331123543164,4.4,0.05383311235431609,1.0,3.0,2.8,False
Jaylen Wright,Mike Vick In A Box,RB,8.53958486149406,2.0,6.53958486149406,1.0,2.0,2.0,False
Tony Pollard,Mike Vick In A Box,RB,28.717496304935864,51.0,-22.282503695064136,51.0,51.0,51.0,True
Trey McBride,Mike Vick In A Box,TE,97.0598107973647,51.0,46.059810797364705,27.0,35.0,33.4,False
CeeDee Lamb,Mike Vick In A Box,WR,227.52690344949602,157.07999999999998,70.44690344949603,59.0,92.0,85.4,True
Chris Olave,Mike Vick In A Box,WR,94.36672224396807,31.0,63.36672224396807,31.0,31.0,31.0,False
DeMario Douglas,Mike Vick In A Box,WR,-1.0064684013016432,8.0,-9.006468401301643,4.0,6.0,5.6,False
DeVonta Smith,Mike Vick In A Box,WR,52.877588317237056,25.0,27.877588317237056,25.0,25.0,25.0,False
George Pickens,Mike Vick In A Box,WR,94.36672224396807,35.88,58.48672224396807,13.0,21.0,19.4,True
Jordan Addison,Mike Vick In A Box,WR,8.458989298780045,17.0,-8.541010701219955,9.0,12.0,11.4,False
Marvin Harrison Jr.,Mike Vick In A Box,WR,37.578725778477356,16.0,21.578725778477356,16.0,16.0,16.0,False
Cam Ward,Slow Striders,QB,14.89252005059542,18.8,-3.90747994940458,3.0,13.0,12.4,False
Dak Prescott,Slow Striders,QB,89.88379889838751,30.4,59.48379889838751,16.0,21.0,20.0,False
Jared Goff,Slow Striders,QB,56.13350741716075,33.88,22.253507417160748,11.0,18.0,16.6,True
D'Andre Swift,Slow Striders,RB,55.41342547643452,7.0,48.41342547643452,7.0,7.0,7.0,False
De'Von Achane,Slow Striders,RB,183.17344370022886,94.8,88.37344370022886,50.0,64.0,61.2,False
Isaac Guerendo,Slow Striders,RB,4.4538331123543164,1.0,3.4538331123543164,1.0,1.0,1.0,False
Ray Davis,Slow Striders,RB,8.53958486149406,2.0,6.53958486149406,1.0,2.0,2.0,False
Tyler Warren,Slow Striders,TE,11.320943013221678,9.8,1.520943013221677,5.0,7.0,6.6,False
Brandon Aiyuk,Slow Striders,WR,0.015757019691205673,15.0,-14.984242980308794,15.0,15.0,15.0,False
Chris Godwin,Slow Striders,WR,37.578725778477356,15.0,22.578725778477356,15.0,15.0,15.0,False
Puka Nacua,Slow Striders,WR,255.6825208472953,75.2,180.4825208472953,40.0,51.0,48.8,True
Savion Williams,Slow Striders,WR,-1.5493840168849506,2.6,-4.149384016884951,1.0,2.0,1.8,False
Zay Flowers,Slow Striders,WR,52.877588317237056,21.4,31.477588317237057,11.0,15.0,14.2,True
Drake Maye,That One Egg Was 40 Yards,QB,162.8108188351243,31.4,131.4108188351243,13.0,17.0,16.2,False
Jayden Daniels,That One Egg Was 40 Yards,QB,162.8108188351243,49.512,113.29881883512431,13.0,25.0,22.6,True
Bijan Robinson,That One Egg Was 40 Yards,RB,235.04137363490457,143.2,91.84137363490458,76.0,97.0,92.8,True
James Cook,That One Egg Was 40 Yards,RB,183.17344370022886,60.8,122.37344370022886,32.0,41.0,39.2,True
Tahj Brooks,That One Egg Was 40 Yards,RB,4.4538331123543164,4.4,0.05383311235431609,1.0,3.0,2.8,False
Trey Benson,That One Egg Was 40 Yards,RB,9.606035295001018,4.0,5.606035295001018,1.0,4.0,4.0,False
Elijah Arroyo,That One Egg Was 40 Yards,TE,-1.6236455521290463,2.6,-4.223645552129046,1.0,2.0,1.8,False
Mason Taylor,That One Egg Was 40 Yards,TE,0.39012283862963126,2.6,-2.2098771613703687,1.0,2.0,1.8,False
Arian Smith,That One Egg Was 40 Yards,WR,-1.5493840168849506,4.52,-6.06938401688495,1.0,2.0,1.8,False
Garrett Wilson,That One Egg Was 40 Yards,WR,94.36672224396807,53.0,41.36672224396807,53.0,53.0,53.0,True
Ja'Marr Chase,That One Egg Was 40 Yards,WR,227.52690344949602,70.0,157.52690344949602,70.0,70.0,70.0,True
Jakobi Meyers,That One Egg Was 40 Yards,WR,23.215071635259974,23.2,0.015071635259975125,12.0,16.0,15.2,True
Jalen Royals,That One Egg Was 40 Yards,WR,-1.0064684013016432,4.4,-5.406468401301644,1.0,3.0,2.8,False
Josh Downs,That One Egg Was 40 Yards,WR,8.458989298780045,8.0,0.458989298780045,4.0,6.0,5.6,False
Konata Mumpfield,That One Egg Was 40 Yards,WR,-0.4263608690886366,2.6,-3.0263608690886366,1.0,2.0,1.8,False
J.J. McCarthy,Turner | Banana Breath,QB,13.394031776692426,8.0,5.394031776692426,2.0,8.0,8.0,False
Jalen Hurts,Turner | Banana Breath,QB,162.8108188351243,61.0,101.81081883512431,61.0,61.0,61.0,True
Michael Penix Jr.,Turner | Banana Breath,QB,13.394031776692426,5.0,8.394031776692426,5.0,5.0,5.0,False
Patrick Mahomes,Turner | Banana Breath,QB,89.88379889838751,47.0,42.88379889838751,47.0,47.0,47.0,False
Ashton Jeanty,Turner | Banana Breath,RB,183.17344370022886,30.4,152.77344370022885,16.0,21.0,20.0,False
Derrick Henry,Turner | Banana Breath,RB,93.16467050372748,86.8,6.364670503727481,46.0,59.0,56.4,True
Jacory Croskey-Merritt,Turner | Banana Breath,RB,21.682342918571592,4.4,17.282342918571594,2.0,3.0,2.8,False
Quinshon Judkins,Turner | Banana Breath,RB,55.41342547643452,21.4,34.01342547643452,11.0,15.0,14.2,False
RJ Harvey,Turner | Banana Breath,RB,42.520084647136294,17.0,25.520084647136294,9.0,12.0,11.4,False
Zach Charbonnet,Turner | Banana Breath,RB,21.682342918571592,16.72,4.9623429185715935,6.0,10.0,9.2,True
Brock Bowers,Turner | Banana Breath,TE,97.0598107973647,10.0,87.0598107973647,10.0,10.0,10.0,False
Dalton Kincaid,Turner | Banana Breath,TE,5.014100032986921,8.0,-2.9858999670130792,4.0,6.0,5.6,True
Courtland Sutton,Turner | Banana Breath,WR,37.578725778477356,5.0,32.578725778477356,5.0,5.0,5.0,False
Ladd McConkey,Turner | Banana Breath,WR,52.877588317237056,6.0,46.877588317237056,6.0,6.0,6.0,False
Travis Hunter,Turner | Banana Breath,WR,0.015757019691205673,26.8,-26.784242980308797,14.0,18.0,17.2,False
