player,team,position,tv_y0,tv_y1,tv_y2,tv_y3,pv_tv,tv_source
Caleb Williams,AJJ | Turf Titans,QB,70.36632135598788,70.36632135598788,70.36632135598788,70.36632135598788,207.72138064287623,explicit_path
Brashard Smith,AJJ | Turf Titans,RB,-0.0013952432203538,-0.0013952432203538,-0.0013952432203538,-0.0013952432203538,-0.004118757986484417,explicit_path
Omarion Hampton,AJJ | Turf Titans,RB,42.59311005725141,42.59311005725141,42.59311005725141,42.59311005725141,125.73486088900616,explicit_path
Tyjae Spears,AJJ | Turf Titans,RB,4.799586798979035,4.799586798979035,4.799586798979035,4.799586798979035,14.16838023058611,explicit_path
Woody Marks,AJJ | Turf Titans,RB,11.142907948967318,11.142907948967318,11.142907948967318,11.142907948967318,32.893864265351525,explicit_path
Dalton Schultz,AJJ | Turf Titans,TE,-0.6829904414353988,-0.6829904414353988,-0.6829904414353988,-0.6829904414353988,-2.016187783117297,explicit_path
Brian Thomas Jr.,AJJ | Turf Titans,WR,10.01157017683248,10.01157017683248,10.01157017683248,10.01157017683248,29.55415516200948,explicit_path
DK Metcalf,AJJ | Turf Titans,WR,12.98207655471401,12.98207655471401,12.98207655471401,12.98207655471401,38.32308998951575,explicit_path
Deebo Samuel Sr.,AJJ | Turf Titans,WR,1.7335249588465584,1.7335249588465584,1.7335249588465584,1.7335249588465584,5.117365678515041,explicit_path
Jalen Coker,AJJ | Turf Titans,WR,1.7335249588465584,1.7335249588465584,1.7335249588465584,1.7335249588465584,5.117365678515041,explicit_path
Malik Nabers,AJJ | Turf Titans,WR,53.57937714279428,53.57937714279428,53.57937714279428,53.57937714279428,158.1663213255287,explicit_path
Matthew Golden,AJJ | Turf Titans,WR,1.7335249588465584,1.7335249588465584,1.7335249588465584,1.7335249588465584,5.117365678515041,explicit_path
Rome Odunze,AJJ | Turf Titans,WR,12.98207655471401,12.98207655471401,12.98207655471401,12.98207655471401,38.32308998951575,explicit_path
