season,week,player_id,player,team,position,opponent,projected_points,source,loaded_at
2025,10,19801,Josh Allen,BUF,QB,MIA,24.4,fantasydata.weekly_projections,2026-04-10T02:02:54.046241+00:00
2025,10,25069,Bo Nix,DEN,QB,LV,20.3,fantasydata.weekly_projections,2026-04-10T02:02:54.046241+00:00
2025,10,19781,Lamar Jackson,BAL,QB,MIN,20.2,fantasydata.weekly_projections,2026-04-10T02:02:54.046241+00:00
2025,10,21682,Jonathan Taylor,IND,RB,ATL,20.1,fantasydata.weekly_projections,2026-04-10T02:02:54.046241+00:00
2025,10,24958,Drake Maye,NE,QB,TB,20.0,fantasydata.weekly_projections,2026-04-10T02:02:54.046241+00:00
2025,10,18877,Christian McCaffrey,SF,RB,LAR,19.8,fantasydata.weekly_projections,2026-04-10T02:02:54.046241+00:00
2025,10,21681,Justin Herbert,LAC,QB,PIT,19.2,fantasydata.weekly_projections,2026-04-10T02:02:54.046241+00:00
2025,10,24927,Caleb Williams,CHI,QB,NYG,18.7,fantasydata.weekly_projections,2026-04-10T02:02:54.046241+00:00
2025,10,21831,Jalen Hurts,PHI,QB,GB,18.3,fantasydata.weekly_projections,2026-04-10T02:02:54.046241+00:00
2025,10,20841,Daniel Jones,IND,QB,ATL,18.3,fantasydata.weekly_projections,2026-04-10T02:02:54.046241+00:00
2025,10,17922,Jared Goff,DET,QB,WAS,18.2,fantasydata.weekly_projections,2026-04-10T02:02:54.046241+00:00
2025,10,19790,Baker Mayfield,TB,QB,NE,18.2,fantasydata.weekly_projections,2026-04-10T02:02:54.046241+00:00
2025,10,26082,Jaxson Dart,NYG,QB,CHI,18.0,fantasydata.weekly_projections,2026-04-10T02:02:54.046241+00:00
2025,10,24179,De'Von Achane,MIA,RB,BUF,17.6,fantasydata.weekly_projections,2026-04-10T02:02:54.046241+00:00
2025,10,22587,Amon-Ra St. Brown,DET,WR,WAS,17.4,fantasydata.weekly_projections,2026-04-10T02:02:54.046241+00:00
2025,10,23247,James Cook,BUF,RB,MIA,17.4,fantasydata.weekly_projections,2026-04-10T02:02:54.046241+00:00
2025,10,23189,Bijan Robinson,ATL,RB,IND,17.3,fantasydata.weekly_projections,2026-04-10T02:02:54.046241+00:00
2025,10,23200,Jahmyr Gibbs,DET,RB,WAS,17.1,fantasydata.weekly_projections,2026-04-10T02:02:54.046241+00:00
2025,10,24172,Puka Nacua,LAR,WR,SF,16.9,fantasydata.weekly_projections,2026-04-10T02:02:54.046241+00:00
2025,10,23157,Jaxon Smith-Njigba,SEA,WR,ARI,16.7,fantasydata.weekly_projections,2026-04-10T02:02:54.046241+00:00
2025,10,9038,Matthew Stafford,LAR,QB,SF,16.3,fantasydata.weekly_projections,2026-04-10T02:02:54.046241+00:00
2025,10,16763,Marcus Mariota,WAS,QB,DET,16.1,fantasydata.weekly_projections,2026-04-10T02:02:54.046241+00:00
2025,10,20824,Josh Jacobs,GB,RB,PHI,16.1,fantasydata.weekly_projections,2026-04-10T02:02:54.046241+00:00
2025,10,21841,Jordan Love,GB,QB,PHI,15.7,fantasydata.weekly_projections,2026-04-10T02:02:54.046241+00:00
