season,week,player_id,player,team,position,opponent,projected_points,source,loaded_at
2025,7,23235,Jayden Daniels,WAS,QB,DAL,21.6,fantasydata.weekly_projections,2026-04-10T02:02:53.976820+00:00
2025,7,18890,Patrick Mahomes,KC,QB,LV,21.2,fantasydata.weekly_projections,2026-04-10T02:02:53.976820+00:00
2025,7,18877,Christian McCaffrey,SF,RB,ATL,19.6,fantasydata.weekly_projections,2026-04-10T02:02:53.976820+00:00
2025,7,24958,Drake Maye,NE,QB,TEN,19.5,fantasydata.weekly_projections,2026-04-10T02:02:53.976820+00:00
2025,7,18055,Dak Prescott,DAL,QB,WAS,19.4,fantasydata.weekly_projections,2026-04-10T02:02:53.976820+00:00
2025,7,23189,Bijan Robinson,ATL,RB,SF,18.9,fantasydata.weekly_projections,2026-04-10T02:02:53.976820+00:00
2025,7,19790,Baker Mayfield,TB,QB,DET,18.7,fantasydata.weekly_projections,2026-04-10T02:02:53.976820+00:00
2025,7,21682,Jonathan Taylor,IND,RB,LAC,18.5,fantasydata.weekly_projections,2026-04-10T02:02:53.976820+00:00
2025,7,24927,Caleb Williams,CHI,QB,NO,18.5,fantasydata.weekly_projections,2026-04-10T02:02:53.976820+00:00
2025,7,21681,Justin Herbert,LAC,QB,IND,18.3,fantasydata.weekly_projections,2026-04-10T02:02:53.976820+00:00
2025,7,21831,Jalen Hurts,PHI,QB,MIN,18.3,fantasydata.weekly_projections,2026-04-10T02:02:53.976820+00:00
2025,7,17922,Jared Goff,DET,QB,TB,18.0,fantasydata.weekly_projections,2026-04-10T02:02:53.976820+00:00
2025,7,21841,Jordan Love,GB,QB,ARI,17.7,fantasydata.weekly_projections,2026-04-10T02:02:53.976820+00:00
2025,7,22492,Justin Fields,NYJ,QB,CAR,17.7,fantasydata.weekly_projections,2026-04-10T02:02:53.976820+00:00
2025,7,25069,Bo Nix,DEN,QB,NYG,17.6,fantasydata.weekly_projections,2026-04-10T02:02:53.976820+00:00
2025,7,20841,Daniel Jones,IND,QB,LAC,17.3,fantasydata.weekly_projections,2026-04-10T02:02:53.976820+00:00
2025,7,24179,De'Von Achane,MIA,RB,CLE,17.2,fantasydata.weekly_projections,2026-04-10T02:02:53.976820+00:00
2025,7,2593,Aaron Rodgers,PIT,QB,CIN,16.6,fantasydata.weekly_projections,2026-04-10T02:02:53.976820+00:00
2025,7,9038,Matthew Stafford,LAR,QB,JAX,16.2,fantasydata.weekly_projections,2026-04-10T02:02:53.976820+00:00
2025,7,22587,Amon-Ra St. Brown,DET,WR,TB,16.1,fantasydata.weekly_projections,2026-04-10T02:02:53.976820+00:00
2025,7,23200,Jahmyr Gibbs,DET,RB,TB,16.1,fantasydata.weekly_projections,2026-04-10T02:02:53.976820+00:00
2025,7,20824,Josh Jacobs,GB,RB,ARI,15.9,fantasydata.weekly_projections,2026-04-10T02:02:53.976820+00:00
2025,7,23157,Jaxon Smith-Njigba,SEA,WR,HOU,15.7,fantasydata.weekly_projections,2026-04-10T02:02:53.976820+00:00
2025,7,23212,Kyren Williams,LAR,RB,JAX,15.2,fantasydata.weekly_projections,2026-04-10T02:02:53.976820+00:00
2025,7,25946,Quinshon Judkins,CLE,RB,MIA,15.0,fantasydata.weekly_projections,2026-04-10T02:02:53.976820+00:00
2025,7,19766,Saquon Barkley,PHI,RB,MIN,14.9,fantasydata.weekly_projections,2026-04-10T02:02:53.976820+00:00
2025,7,22564,Ja'Marr Chase,CIN,WR,PIT,14.9,fantasydata.weekly_projections,2026-04-10T02:02:53.976820+00:00
2025,7,21679,CeeDee Lamb,DAL,WR,WAS,14.9,fantasydata.weekly_projections,2026-04-10T02:02:53.976820+00:00
2025,7,22496,Mac Jones,SF,QB,ATL,14.8,fantasydata.weekly_projections,2026-04-10T02:02:53.976820+00:00
2025,7,19812,Sam Darnold,SEA,QB,HOU,14.8,fantasydata.weekly_projections,2026-04-10T02:02:53.976820+00:00
2025,7,22490,Trevor Lawrence,JAX,QB,LAR,14.7,fantasydata.weekly_projections,2026-04-10T02:02:53.976820+00:00
2025,7,23217,Rachaad White,TB,RB,DET,14.6,fantasydata.weekly_projections,2026-04-10T02:02:53.976820+00:00
2025,7,22526,Breece Hall,NYJ,RB,CAR,14.6,fantasydata.weekly_projections,2026-04-10T02:02:53.976820+00:00
2025,7,23186,Spencer Rattler,NO,QB,CHI,14.5,fantasydata.weekly_projections,2026-04-10T02:02:53.976820+00:00
2025,7,22558,Javonte Williams,DAL,RB,WAS,14.5,fantasydata.weekly_projections,2026-04-10T02:02:53.976820+00:00
2025,7,23242,Michael Penix Jr.,ATL,QB,SF,14.4,fantasydata.weekly_projections,2026-04-10T02:02:53.976820+00:00
2025,7,23239,C.J. Stroud,HOU,QB,SEA,14.3,fantasydata.weekly_projections,2026-04-10T02:02:53.976820+00:00
2025,7,26082,Jaxson Dart,NYG,QB,DEN,14.3,fantasydata.weekly_projections,2026-04-10T02:02:53.976820+00:00
2025,7,25868,Ashton Jeanty,LV,RB,KC,14.1,fantasydata.weekly_projections,2026-04-10T02:02:53.976820+00:00
2025,7,16470,Davante Adams,LAR,WR,JAX,14.1,fantasydata.weekly_projections,2026-04-10T02:02:53.976820+00:00
2025,7,23132,Bryce Young,CAR,QB,NYJ,14.1,fantasydata.weekly_projections,2026-04-10T02:02:53.976820+00:00
2025,7,26259,Jacory Croskey-Merritt,WAS,RB,DAL,13.9,fantasydata.weekly_projections,2026-04-10T02:02:53.976820+00:00
2025,7,25887,Cam Skattebo,NYG,RB,DEN,13.5,fantasydata.weekly_projections,2026-04-10T02:02:53.976820+00:00
2025,7,21685,Justin Jefferson,MIN,WR,PHI,13.4,fantasydata.weekly_projections,2026-04-10T02:02:53.976820+00:00
2025,7,17920,Carson Wentz,MIN,QB,PHI,13.1,fantasydata.weekly_projections,2026-04-10T02:02:53.976820+00:00
2025,7,23153,George Pickens,DAL,WR,WAS,13.1,fantasydata.weekly_projections,2026-04-10T02:02:53.976820+00:00
