season,week,player_id,player,team,position,opponent,projected_points,source,loaded_at
2025,15,18877,Christian McCaffrey,SF,RB,TEN,22.0,fantasydata.weekly_projections,2026-04-10T02:02:54.140674+00:00
2025,15,19801,Josh Allen,BUF,QB,NE,21.1,fantasydata.weekly_projections,2026-04-10T02:02:54.140674+00:00
2025,15,19781,Lamar Jackson,BAL,QB,CIN,20.8,fantasydata.weekly_projections,2026-04-10T02:02:54.140674+00:00
2025,15,26082,Jaxson Dart,NYG,QB,WAS,20.1,fantasydata.weekly_projections,2026-04-10T02:02:54.140674+00:00
2025,15,23241,Brock Purdy,SF,QB,TEN,20.0,fantasydata.weekly_projections,2026-04-10T02:02:54.140674+00:00
2025,15,21831,Jalen Hurts,PHI,QB,LV,19.6,fantasydata.weekly_projections,2026-04-10T02:02:54.140674+00:00
2025,15,24958,Drake Maye,NE,QB,BUF,19.5,fantasydata.weekly_projections,2026-04-10T02:02:54.140674+00:00
2025,15,18890,Patrick Mahomes,KC,QB,LAC,19.0,fantasydata.weekly_projections,2026-04-10T02:02:54.140674+00:00
2025,15,23200,Jahmyr Gibbs,DET,RB,LAR,18.8,fantasydata.weekly_projections,2026-04-10T02:02:54.140674+00:00
2025,15,23189,Bijan Robinson,ATL,RB,TB,18.6,fantasydata.weekly_projections,2026-04-10T02:02:54.140674+00:00
2025,15,24179,De'Von Achane,MIA,RB,PIT,18.6,fantasydata.weekly_projections,2026-04-10T02:02:54.140674+00:00
2025,15,18055,Dak Prescott,DAL,QB,MIN,18.4,fantasydata.weekly_projections,2026-04-10T02:02:54.140674+00:00
2025,15,23157,Jaxon Smith-Njigba,SEA,WR,IND,18.1,fantasydata.weekly_projections,2026-04-10T02:02:54.140674+00:00
2025,15,16763,Marcus Mariota,WAS,QB,NYG,17.7,fantasydata.weekly_projections,2026-04-10T02:02:54.140674+00:00
2025,15,9038,Matthew Stafford,LAR,QB,DET,17.7,fantasydata.weekly_projections,2026-04-10T02:02:54.140674+00:00
2025,15,22490,Trevor Lawrence,JAX,QB,NYJ,17.7,fantasydata.weekly_projections,2026-04-10T02:02:54.140674+00:00
2025,15,21693,Joe Burrow,CIN,QB,BAL,17.6,fantasydata.weekly_projections,2026-04-10T02:02:54.140674+00:00
2025,15,24172,Puka Nacua,LAR,WR,DET,17.6,fantasydata.weekly_projections,2026-04-10T02:02:54.140674+00:00
2025,15,23239,C.J. Stroud,HOU,QB,ARI,17.5,fantasydata.weekly_projections,2026-04-10T02:02:54.140674+00:00
2025,15,19790,Baker Mayfield,TB,QB,ATL,17.3,fantasydata.weekly_projections,2026-04-10T02:02:54.140674+00:00
2025,15,22564,Ja'Marr Chase,CIN,WR,BAL,16.1,fantasydata.weekly_projections,2026-04-10T02:02:54.140674+00:00
2025,15,19812,Sam Darnold,SEA,QB,IND,15.9,fantasydata.weekly_projections,2026-04-10T02:02:54.140674+00:00
2025,15,24927,Caleb Williams,CHI,QB,CLE,15.9,fantasydata.weekly_projections,2026-04-10T02:02:54.140674+00:00
2025,15,21682,Jonathan Taylor,IND,RB,SEA,15.8,fantasydata.weekly_projections,2026-04-10T02:02:54.140674+00:00
2025,15,25069,Bo Nix,DEN,QB,GB,15.7,fantasydata.weekly_projections,2026-04-10T02:02:54.140674+00:00
2025,15,17922,Jared Goff,DET,QB,LAR,15.6,fantasydata.weekly_projections,2026-04-10T02:02:54.140674+00:00
2025,15,17959,Derrick Henry,BAL,RB,CIN,15.5,fantasydata.weekly_projections,2026-04-10T02:02:54.140674+00:00
2025,15,23247,James Cook,BUF,RB,NE,15.4,fantasydata.weekly_projections,2026-04-10T02:02:54.140674+00:00
2025,15,21681,Justin Herbert,LAC,QB,KC,15.3,fantasydata.weekly_projections,2026-04-10T02:02:54.140674+00:00
2025,15,23187,Tyler Shough,NO,QB,CAR,15.3,fantasydata.weekly_projections,2026-04-10T02:02:54.140674+00:00
2025,15,22587,Amon-Ra St. Brown,DET,WR,LAR,15.0,fantasydata.weekly_projections,2026-04-10T02:02:54.140674+00:00
2025,15,19766,Saquon Barkley,PHI,RB,LV,15.0,fantasydata.weekly_projections,2026-04-10T02:02:54.140674+00:00
2025,15,2593,Aaron Rodgers,PIT,QB,MIA,15.0,fantasydata.weekly_projections,2026-04-10T02:02:54.140674+00:00
2025,15,20824,Josh Jacobs,GB,RB,DEN,14.7,fantasydata.weekly_projections,2026-04-10T02:02:54.140674+00:00
2025,15,21679,CeeDee Lamb,DAL,WR,MIN,14.6,fantasydata.weekly_projections,2026-04-10T02:02:54.140674+00:00
2025,15,23153,George Pickens,DAL,WR,MIN,14.2,fantasydata.weekly_projections,2026-04-10T02:02:54.140674+00:00
2025,15,23132,Bryce Young,CAR,QB,NO,14.1,fantasydata.weekly_projections,2026-04-10T02:02:54.140674+00:00
2025,15,18018,Jacoby Brissett,ARI,QB,HOU,14.0,fantasydata.weekly_projections,2026-04-10T02:02:54.140674+00:00
2025,15,21841,Jordan Love,GB,QB,DEN,13.9,fantasydata.weekly_projections,2026-04-10T02:02:54.140674+00:00
2025,15,24956,J.J. McCarthy,MIN,QB,DAL,13.8,fantasydata.weekly_projections,2026-04-10T02:02:54.140674+00:00
2025,15,25942,Woody Marks,HOU,RB,ARI,13.8,fantasydata.weekly_projections,2026-04-10T02:02:54.140674+00:00
2025,15,22558,Javonte Williams,DAL,RB,MIN,13.8,fantasydata.weekly_projections,2026-04-10T02:02:54.140674+00:00
2025,15,24967,Bucky Irving,TB,RB,ATL,13.8,fantasydata.weekly_projections,2026-04-10T02:02:54.140674+00:00
2025,15,25946,Quinshon Judkins,CLE,RB,CHI,13.8,fantasydata.weekly_projections,2026-04-10T02:02:54.140674+00:00
2025,15,24120,Rashee Rice,KC,WR,LAC,13.8,fantasydata.weekly_projections,2026-04-10T02:02:54.140674+00:00
2025,15,16470,Davante Adams,LAR,WR,DET,13.6,fantasydata.weekly_projections,2026-04-10T02:02:54.140674+00:00
2025,15,21696,Travis Etienne Jr.,JAX,RB,NYJ,13.5,fantasydata.weekly_projections,2026-04-10T02:02:54.140674+00:00
2025,15,21756,Nico Collins,HOU,WR,ARI,13.4,fantasydata.weekly_projections,2026-04-10T02:02:54.140674+00:00
2025,15,24374,Chase Brown,CIN,RB,BAL,12.9,fantasydata.weekly_projections,2026-04-10T02:02:54.140674+00:00
2025,15,23251,Trey McBride,ARI,TE,HOU,12.7,fantasydata.weekly_projections,2026-04-10T02:02:54.140674+00:00
2025,15,21042,A.J. Brown,PHI,WR,LV,12.6,fantasydata.weekly_projections,2026-04-10T02:02:54.140674+00:00
2025,15,23212,Kyren Williams,LAR,RB,DET,12.6,fantasydata.weekly_projections,2026-04-10T02:02:54.140674+00:00
2025,15,21677,Tua Tagovailoa,MIA,QB,PIT,12.4,fantasydata.weekly_projections,2026-04-10T02:02:54.140674+00:00
2025,15,25944,RJ Harvey,DEN,RB,GB,12.3,fantasydata.weekly_projections,2026-04-10T02:02:54.140674+00:00
2025,15,14252,Kirk Cousins,ATL,QB,TB,12.3,fantasydata.weekly_projections,2026-04-10T02:02:54.140674+00:00
2025,15,22526,Breece Hall,NYJ,RB,JAX,12.2,fantasydata.weekly_projections,2026-04-10T02:02:54.140674+00:00
2025,15,25868,Ashton Jeanty,LV,RB,PHI,12.1,fantasydata.weekly_projections,2026-04-10T02:02:54.140674+00:00
2025,15,23479,Jaylen Warren,PIT,RB,MIA,12.1,fantasydata.weekly_projections,2026-04-10T02:02:54.140674+00:00
2025,15,23245,TreVeyon Henderson,NE,RB,BUF,12.0,fantasydata.weekly_projections,2026-04-10T02:02:54.140674+00:00
2025,15,22565,Chris Olave,NO,WR,CAR,12.0,fantasydata.weekly_projections,2026-04-10T02:02:54.140674+00:00
2025,15,23214,Kenneth Walker III,SEA,RB,IND,12.0,fantasydata.weekly_projections,2026-04-10T02:02:54.140674+00:00
2025,15,19063,George Kittle,SF,TE,TEN,11.9,fantasydata.weekly_projections,2026-04-10T02:02:54.140674+00:00
2025,15,21685,Justin Jefferson,MIN,WR,DAL,11.8,fantasydata.weekly_projections,2026-04-10T02:02:54.140674+00:00
2025,15,25323,Cam Ward,TEN,QB,SF,11.8,fantasydata.weekly_projections,2026-04-10T02:02:54.140674+00:00
2025,15,26079,Shedeur Sanders,CLE,QB,CHI,11.8,fantasydata.weekly_projections,2026-04-10T02:02:54.140674+00:00
2025,15,23120,Zay Flowers,BAL,WR,CIN,11.7,fantasydata.weekly_projections,2026-04-10T02:02:54.140674+00:00
