season,week,player_id,player,team,position,opponent,projected_points,source,loaded_at
2025,13,18890,Patrick Mahomes,KC,QB,DAL,22.8,fantasydata.weekly_projections,2026-04-10T02:02:54.103638+00:00
2025,13,19801,Josh Allen,BUF,QB,PIT,21.6,fantasydata.weekly_projections,2026-04-10T02:02:54.103638+00:00
2025,13,21831,Jalen Hurts,PHI,QB,CHI,21.6,fantasydata.weekly_projections,2026-04-10T02:02:54.103638+00:00
2025,13,19781,Lamar Jackson,BAL,QB,CIN,21.0,fantasydata.weekly_projections,2026-04-10T02:02:54.103638+00:00
2025,13,24958,Drake Maye,NE,QB,NYG,21.0,fantasydata.weekly_projections,2026-04-10T02:02:54.103638+00:00
2025,13,21681,Justin Herbert,LAC,QB,LV,20.0,fantasydata.weekly_projections,2026-04-10T02:02:54.103638+00:00
2025,13,24179,De'Von Achane,MIA,RB,NO,19.7,fantasydata.weekly_projections,2026-04-10T02:02:54.103638+00:00
2025,13,23200,Jahmyr Gibbs,DET,RB,GB,19.4,fantasydata.weekly_projections,2026-04-10T02:02:54.103638+00:00
2025,13,21682,Jonathan Taylor,IND,RB,HOU,19.2,fantasydata.weekly_projections,2026-04-10T02:02:54.103638+00:00
2025,13,18877,Christian McCaffrey,SF,RB,CLE,19.0,fantasydata.weekly_projections,2026-04-10T02:02:54.103638+00:00
2025,13,25069,Bo Nix,DEN,QB,WAS,18.5,fantasydata.weekly_projections,2026-04-10T02:02:54.103638+00:00
2025,13,19790,Baker Mayfield,TB,QB,ARI,18.3,fantasydata.weekly_projections,2026-04-10T02:02:54.103638+00:00
2025,13,23189,Bijan Robinson,ATL,RB,NYJ,18.2,fantasydata.weekly_projections,2026-04-10T02:02:54.103638+00:00
2025,13,18055,Dak Prescott,DAL,QB,KC,18.2,fantasydata.weekly_projections,2026-04-10T02:02:54.103638+00:00
2025,13,9038,Matthew Stafford,LAR,QB,CAR,17.7,fantasydata.weekly_projections,2026-04-10T02:02:54.103638+00:00
2025,13,22490,Trevor Lawrence,JAX,QB,TEN,17.7,fantasydata.weekly_projections,2026-04-10T02:02:54.103638+00:00
2025,13,26082,Jaxson Dart,NYG,QB,NE,17.6,fantasydata.weekly_projections,2026-04-10T02:02:54.103638+00:00
2025,13,23157,Jaxon Smith-Njigba,SEA,WR,MIN,17.3,fantasydata.weekly_projections,2026-04-10T02:02:54.103638+00:00
2025,13,17959,Derrick Henry,BAL,RB,CIN,17.3,fantasydata.weekly_projections,2026-04-10T02:02:54.103638+00:00
2025,13,20841,Daniel Jones,IND,QB,HOU,16.4,fantasydata.weekly_projections,2026-04-10T02:02:54.103638+00:00
2025,13,21841,Jordan Love,GB,QB,DET,16.4,fantasydata.weekly_projections,2026-04-10T02:02:54.103638+00:00
2025,13,21693,Joe Burrow,CIN,QB,BAL,16.2,fantasydata.weekly_projections,2026-04-10T02:02:54.103638+00:00
2025,13,18018,Jacoby Brissett,ARI,QB,TB,16.1,fantasydata.weekly_projections,2026-04-10T02:02:54.103638+00:00
2025,13,22564,Ja'Marr Chase,CIN,WR,BAL,16.1,fantasydata.weekly_projections,2026-04-10T02:02:54.103638+00:00
2025,13,24172,Puka Nacua,LAR,WR,CAR,16.0,fantasydata.weekly_projections,2026-04-10T02:02:54.103638+00:00
2025,13,22587,Amon-Ra St. Brown,DET,WR,GB,15.9,fantasydata.weekly_projections,2026-04-10T02:02:54.103638+00:00
2025,13,24927,Caleb Williams,CHI,QB,PHI,15.8,fantasydata.weekly_projections,2026-04-10T02:02:54.103638+00:00
2025,13,17922,Jared Goff,DET,QB,GB,15.7,fantasydata.weekly_projections,2026-04-10T02:02:54.103638+00:00
2025,13,19766,Saquon Barkley,PHI,RB,CHI,15.6,fantasydata.weekly_projections,2026-04-10T02:02:54.103638+00:00
