season,week,player_id,player,team,position,opponent,projected_points,source,loaded_at
2025,4,19801,Josh Allen,BUF,QB,NO,22.4,fantasydata.weekly_projections,2026-04-10T02:02:53.914240+00:00
2025,4,19781,Lamar Jackson,BAL,QB,KC,21.9,fantasydata.weekly_projections,2026-04-10T02:02:53.914240+00:00
2025,4,18877,Christian McCaffrey,SF,RB,JAX,21.0,fantasydata.weekly_projections,2026-04-10T02:02:53.914240+00:00
2025,4,21831,Jalen Hurts,PHI,QB,TB,20.1,fantasydata.weekly_projections,2026-04-10T02:02:53.914240+00:00
2025,4,21681,Justin Herbert,LAC,QB,NYG,18.5,fantasydata.weekly_projections,2026-04-10T02:02:53.914240+00:00
2025,4,18890,Patrick Mahomes,KC,QB,BAL,18.3,fantasydata.weekly_projections,2026-04-10T02:02:53.914240+00:00
2025,4,24958,Drake Maye,NE,QB,CAR,18.1,fantasydata.weekly_projections,2026-04-10T02:02:53.914240+00:00
2025,4,23241,Brock Purdy,SF,QB,JAX,18.1,fantasydata.weekly_projections,2026-04-10T02:02:53.914240+00:00
2025,4,24927,Caleb Williams,CHI,QB,LV,18.1,fantasydata.weekly_projections,2026-04-10T02:02:53.914240+00:00
2025,4,21682,Jonathan Taylor,IND,RB,LAR,17.9,fantasydata.weekly_projections,2026-04-10T02:02:53.914240+00:00
2025,4,20841,Daniel Jones,IND,QB,LAR,17.9,fantasydata.weekly_projections,2026-04-10T02:02:53.914240+00:00
2025,4,25069,Bo Nix,DEN,QB,CIN,17.6,fantasydata.weekly_projections,2026-04-10T02:02:53.914240+00:00
2025,4,23189,Bijan Robinson,ATL,RB,WAS,17.4,fantasydata.weekly_projections,2026-04-10T02:02:53.914240+00:00
2025,4,16763,Marcus Mariota,WAS,QB,ATL,17.4,fantasydata.weekly_projections,2026-04-10T02:02:53.914240+00:00
2025,4,21841,Jordan Love,GB,QB,DAL,17.4,fantasydata.weekly_projections,2026-04-10T02:02:53.914240+00:00
