season,week,player_id,player,team,position,opponent,projected_points,source,loaded_at
2025,3,19801,Josh Allen,BUF,QB,MIA,22.9,fantasydata.weekly_projections,2026-04-10T02:02:53.890522+00:00
2025,3,19781,Lamar Jackson,BAL,QB,DET,22.7,fantasydata.weekly_projections,2026-04-10T02:02:53.890522+00:00
2025,3,21831,Jalen Hurts,PHI,QB,LAR,20.9,fantasydata.weekly_projections,2026-04-10T02:02:53.890522+00:00
2025,3,18877,Christian McCaffrey,SF,RB,ARI,20.1,fantasydata.weekly_projections,2026-04-10T02:02:53.890522+00:00
2025,3,18890,Patrick Mahomes,KC,QB,NYG,19.5,fantasydata.weekly_projections,2026-04-10T02:02:53.890522+00:00
2025,3,23189,Bijan Robinson,ATL,RB,CAR,18.8,fantasydata.weekly_projections,2026-04-10T02:02:53.890522+00:00
2025,3,24179,De'Von Achane,MIA,RB,BUF,18.2,fantasydata.weekly_projections,2026-04-10T02:02:53.890522+00:00
2025,3,21681,Justin Herbert,LAC,QB,DEN,17.8,fantasydata.weekly_projections,2026-04-10T02:02:53.890522+00:00
2025,3,18055,Dak Prescott,DAL,QB,CHI,17.8,fantasydata.weekly_projections,2026-04-10T02:02:53.890522+00:00
2025,3,20889,Kyler Murray,ARI,QB,SF,17.6,fantasydata.weekly_projections,2026-04-10T02:02:53.890522+00:00
2025,3,19790,Baker Mayfield,TB,QB,NYJ,17.5,fantasydata.weekly_projections,2026-04-10T02:02:53.890522+00:00
2025,3,19766,Saquon Barkley,PHI,RB,LAR,17.5,fantasydata.weekly_projections,2026-04-10T02:02:53.890522+00:00
2025,3,21682,Jonathan Taylor,IND,RB,TEN,17.5,fantasydata.weekly_projections,2026-04-10T02:02:53.890522+00:00
2025,3,23200,Jahmyr Gibbs,DET,RB,BAL,17.1,fantasydata.weekly_projections,2026-04-10T02:02:53.890522+00:00
2025,3,24927,Caleb Williams,CHI,QB,DAL,16.8,fantasydata.weekly_projections,2026-04-10T02:02:53.890522+00:00
2025,3,24958,Drake Maye,NE,QB,PIT,16.7,fantasydata.weekly_projections,2026-04-10T02:02:53.890522+00:00
2025,3,17959,Derrick Henry,BAL,RB,DET,16.6,fantasydata.weekly_projections,2026-04-10T02:02:53.890522+00:00
2025,3,23214,Kenneth Walker III,SEA,RB,NO,16.5,fantasydata.weekly_projections,2026-04-10T02:02:53.890522+00:00
2025,3,25069,Bo Nix,DEN,QB,LAC,16.4,fantasydata.weekly_projections,2026-04-10T02:02:53.890522+00:00
2025,3,17922,Jared Goff,DET,QB,BAL,16.3,fantasydata.weekly_projections,2026-04-10T02:02:53.890522+00:00
2025,3,21841,Jordan Love,GB,QB,CLE,16.3,fantasydata.weekly_projections,2026-04-10T02:02:53.890522+00:00
2025,3,20841,Daniel Jones,IND,QB,TEN,16.2,fantasydata.weekly_projections,2026-04-10T02:02:53.890522+00:00
2025,3,16763,Marcus Mariota,WAS,QB,LV,16.1,fantasydata.weekly_projections,2026-04-10T02:02:53.890522+00:00
2025,3,20824,Josh Jacobs,GB,RB,CLE,16.1,fantasydata.weekly_projections,2026-04-10T02:02:53.890522+00:00
2025,3,24967,Bucky Irving,TB,RB,NYJ,15.9,fantasydata.weekly_projections,2026-04-10T02:02:53.890522+00:00
2025,3,21679,CeeDee Lamb,DAL,WR,CHI,15.9,fantasydata.weekly_projections,2026-04-10T02:02:53.890522+00:00
2025,3,23239,C.J. Stroud,HOU,QB,JAX,15.9,fantasydata.weekly_projections,2026-04-10T02:02:53.890522+00:00
2025,3,24374,Chase Brown,CIN,RB,MIN,15.7,fantasydata.weekly_projections,2026-04-10T02:02:53.890522+00:00
2025,3,22490,Trevor Lawrence,JAX,QB,HOU,15.7,fantasydata.weekly_projections,2026-04-10T02:02:53.890522+00:00
2025,3,14895,Geno Smith,LV,QB,WAS,15.5,fantasydata.weekly_projections,2026-04-10T02:02:53.890522+00:00
2025,3,22564,Ja'Marr Chase,CIN,WR,MIN,15.4,fantasydata.weekly_projections,2026-04-10T02:02:53.890522+00:00
2025,3,24953,Malik Nabers,NYG,WR,KC,15.3,fantasydata.weekly_projections,2026-04-10T02:02:53.890522+00:00
2025,3,23242,Michael Penix Jr.,ATL,QB,CAR,15.2,fantasydata.weekly_projections,2026-04-10T02:02:53.890522+00:00
2025,3,21046,Jake Browning,CIN,QB,MIN,15.2,fantasydata.weekly_projections,2026-04-10T02:02:53.890522+00:00
2025,3,14536,Russell Wilson,NYG,QB,KC,15.2,fantasydata.weekly_projections,2026-04-10T02:02:53.890522+00:00
2025,3,21677,Tua Tagovailoa,MIA,QB,BUF,15.1,fantasydata.weekly_projections,2026-04-10T02:02:53.890522+00:00
2025,3,23247,James Cook,BUF,RB,MIA,15.1,fantasydata.weekly_projections,2026-04-10T02:02:53.890522+00:00
2025,3,2593,Aaron Rodgers,PIT,QB,NE,15.0,fantasydata.weekly_projections,2026-04-10T02:02:53.890522+00:00
2025,3,19812,Sam Darnold,SEA,QB,NO,14.9,fantasydata.weekly_projections,2026-04-10T02:02:53.890522+00:00
2025,3,23132,Bryce Young,CAR,QB,ATL,14.9,fantasydata.weekly_projections,2026-04-10T02:02:53.890522+00:00
2025,3,24172,Puka Nacua,LAR,WR,PHI,14.7,fantasydata.weekly_projections,2026-04-10T02:02:53.890522+00:00
2025,3,12831,Tyrod Taylor,NYJ,QB,TB,14.5,fantasydata.weekly_projections,2026-04-10T02:02:53.890522+00:00
2025,3,22558,Javonte Williams,DAL,RB,CHI,14.4,fantasydata.weekly_projections,2026-04-10T02:02:53.890522+00:00
2025,3,21685,Justin Jefferson,MIN,WR,CIN,14.4,fantasydata.weekly_projections,2026-04-10T02:02:53.890522+00:00
2025,3,9038,Matthew Stafford,LAR,QB,PHI,14.4,fantasydata.weekly_projections,2026-04-10T02:02:53.890522+00:00
