season,week,player_id,player,team,position,opponent,projected_points,source,loaded_at
2025,9,19781,Lamar Jackson,BAL,QB,MIA,22.3,fantasydata.weekly_projections,2026-04-10T02:02:54.030081+00:00
2025,9,18877,Christian McCaffrey,SF,RB,NYG,21.7,fantasydata.weekly_projections,2026-04-10T02:02:54.030081+00:00
2025,9,18890,Patrick Mahomes,KC,QB,BUF,21.7,fantasydata.weekly_projections,2026-04-10T02:02:54.030081+00:00
2025,9,19801,Josh Allen,BUF,QB,KC,21.3,fantasydata.weekly_projections,2026-04-10T02:02:54.030081+00:00
2025,9,24958,Drake Maye,NE,QB,ATL,20.8,fantasydata.weekly_projections,2026-04-10T02:02:54.030081+00:00
2025,9,21682,Jonathan Taylor,IND,RB,PIT,20.6,fantasydata.weekly_projections,2026-04-10T02:02:54.030081+00:00
2025,9,21681,Justin Herbert,LAC,QB,TEN,20.4,fantasydata.weekly_projections,2026-04-10T02:02:54.030081+00:00
2025,9,24927,Caleb Williams,CHI,QB,CIN,19.4,fantasydata.weekly_projections,2026-04-10T02:02:54.030081+00:00
2025,9,21841,Jordan Love,GB,QB,CAR,19.0,fantasydata.weekly_projections,2026-04-10T02:02:54.030081+00:00
2025,9,20841,Daniel Jones,IND,QB,PIT,18.7,fantasydata.weekly_projections,2026-04-10T02:02:54.030081+00:00
2025,9,18055,Dak Prescott,DAL,QB,ARI,18.6,fantasydata.weekly_projections,2026-04-10T02:02:54.030081+00:00
2025,9,23200,Jahmyr Gibbs,DET,RB,MIN,17.9,fantasydata.weekly_projections,2026-04-10T02:02:54.030081+00:00
2025,9,23157,Jaxon Smith-Njigba,SEA,WR,WAS,17.8,fantasydata.weekly_projections,2026-04-10T02:02:54.030081+00:00
2025,9,23235,Jayden Daniels,WAS,QB,SEA,17.7,fantasydata.weekly_projections,2026-04-10T02:02:54.030081+00:00
2025,9,23189,Bijan Robinson,ATL,RB,NE,17.6,fantasydata.weekly_projections,2026-04-10T02:02:54.030081+00:00
2025,9,17922,Jared Goff,DET,QB,MIN,17.5,fantasydata.weekly_projections,2026-04-10T02:02:54.030081+00:00
2025,9,26082,Jaxson Dart,NYG,QB,SF,17.4,fantasydata.weekly_projections,2026-04-10T02:02:54.030081+00:00
2025,9,22490,Trevor Lawrence,JAX,QB,LV,17.2,fantasydata.weekly_projections,2026-04-10T02:02:54.030081+00:00
2025,9,24179,De'Von Achane,MIA,RB,BAL,17.0,fantasydata.weekly_projections,2026-04-10T02:02:54.030081+00:00
2025,9,22564,Ja'Marr Chase,CIN,WR,CHI,17.0,fantasydata.weekly_projections,2026-04-10T02:02:54.030081+00:00
2025,9,20824,Josh Jacobs,GB,RB,CAR,16.8,fantasydata.weekly_projections,2026-04-10T02:02:54.030081+00:00
2025,9,9038,Matthew Stafford,LAR,QB,NO,16.5,fantasydata.weekly_projections,2026-04-10T02:02:54.030081+00:00
2025,9,24172,Puka Nacua,LAR,WR,NO,16.5,fantasydata.weekly_projections,2026-04-10T02:02:54.030081+00:00
2025,9,18018,Jacoby Brissett,ARI,QB,DAL,16.3,fantasydata.weekly_projections,2026-04-10T02:02:54.030081+00:00
2025,9,19812,Sam Darnold,SEA,QB,WAS,16.2,fantasydata.weekly_projections,2026-04-10T02:02:54.030081+00:00
2025,9,2593,Aaron Rodgers,PIT,QB,IND,16.0,fantasydata.weekly_projections,2026-04-10T02:02:54.030081+00:00
2025,9,22587,Amon-Ra St. Brown,DET,WR,MIN,15.8,fantasydata.weekly_projections,2026-04-10T02:02:54.030081+00:00
2025,9,17959,Derrick Henry,BAL,RB,MIA,15.7,fantasydata.weekly_projections,2026-04-10T02:02:54.030081+00:00
2025,9,21679,CeeDee Lamb,DAL,WR,ARI,15.7,fantasydata.weekly_projections,2026-04-10T02:02:54.030081+00:00
2025,9,23247,James Cook,BUF,RB,KC,15.5,fantasydata.weekly_projections,2026-04-10T02:02:54.030081+00:00
2025,9,25069,Bo Nix,DEN,QB,HOU,15.3,fantasydata.weekly_projections,2026-04-10T02:02:54.030081+00:00
2025,9,23212,Kyren Williams,LAR,RB,NO,15.1,fantasydata.weekly_projections,2026-04-10T02:02:54.030081+00:00
2025,9,611,Joe Flacco,CIN,QB,CHI,15.0,fantasydata.weekly_projections,2026-04-10T02:02:54.030081+00:00
2025,9,22558,Javonte Williams,DAL,RB,ARI,14.7,fantasydata.weekly_projections,2026-04-10T02:02:54.030081+00:00
2025,9,24120,Rashee Rice,KC,WR,BUF,14.6,fantasydata.weekly_projections,2026-04-10T02:02:54.030081+00:00
2025,9,14895,Geno Smith,LV,QB,JAX,14.3,fantasydata.weekly_projections,2026-04-10T02:02:54.030081+00:00
2025,9,23239,C.J. Stroud,HOU,QB,DEN,14.3,fantasydata.weekly_projections,2026-04-10T02:02:54.030081+00:00
2025,9,24956,J.J. McCarthy,MIN,QB,DET,14.2,fantasydata.weekly_projections,2026-04-10T02:02:54.030081+00:00
2025,9,21677,Tua Tagovailoa,MIA,QB,BAL,14.2,fantasydata.weekly_projections,2026-04-10T02:02:54.030081+00:00
2025,9,25952,Kyle Monangai,CHI,RB,CIN,14.1,fantasydata.weekly_projections,2026-04-10T02:02:54.030081+00:00
2025,9,25079,Kimani Vidal,LAC,RB,TEN,13.9,fantasydata.weekly_projections,2026-04-10T02:02:54.030081+00:00
2025,9,23251,Trey McBride,ARI,TE,DAL,13.8,fantasydata.weekly_projections,2026-04-10T02:02:54.030081+00:00
2025,9,23242,Michael Penix Jr.,ATL,QB,NE,13.7,fantasydata.weekly_projections,2026-04-10T02:02:54.030081+00:00
2025,9,25868,Ashton Jeanty,LV,RB,JAX,13.7,fantasydata.weekly_projections,2026-04-10T02:02:54.030081+00:00
2025,9,21685,Justin Jefferson,MIN,WR,DET,13.5,fantasydata.weekly_projections,2026-04-10T02:02:54.030081+00:00
2025,9,23120,Zay Flowers,BAL,WR,MIA,13.1,fantasydata.weekly_projections,2026-04-10T02:02:54.030081+00:00
2025,9,16470,Davante Adams,LAR,WR,NO,13.1,fantasydata.weekly_projections,2026-04-10T02:02:54.030081+00:00
2025,9,22598,Jaylen Waddle,MIA,WR,BAL,13.0,fantasydata.weekly_projections,2026-04-10T02:02:54.030081+00:00
2025,9,25097,Ladd McConkey,LAC,WR,TEN,12.7,fantasydata.weekly_projections,2026-04-10T02:02:54.030081+00:00
2025,9,24977,Rome Odunze,CHI,WR,CIN,12.6,fantasydata.weekly_projections,2026-04-10T02:02:54.030081+00:00
2025,9,23479,Jaylen Warren,PIT,RB,IND,12.5,fantasydata.weekly_projections,2026-04-10T02:02:54.030081+00:00
2025,9,20875,DK Metcalf,PIT,WR,IND,12.5,fantasydata.weekly_projections,2026-04-10T02:02:54.030081+00:00
2025,9,21744,Michael Pittman Jr.,IND,WR,PIT,12.3,fantasydata.weekly_projections,2026-04-10T02:02:54.030081+00:00
2025,9,21696,Travis Etienne Jr.,JAX,RB,LV,12.2,fantasydata.weekly_projections,2026-04-10T02:02:54.030081+00:00
2025,9,23151,Drake London,ATL,WR,NE,12.2,fantasydata.weekly_projections,2026-04-10T02:02:54.030081+00:00
2025,9,22496,Mac Jones,SF,QB,NYG,12.2,fantasydata.weekly_projections,2026-04-10T02:02:54.030081+00:00
2025,9,23153,George Pickens,DAL,WR,ARI,12.0,fantasydata.weekly_projections,2026-04-10T02:02:54.030081+00:00
2025,9,23132,Bryce Young,CAR,QB,GB,12.0,fantasydata.weekly_projections,2026-04-10T02:02:54.030081+00:00
2025,9,24974,Marvin Harrison Jr.,ARI,WR,DAL,11.9,fantasydata.weekly_projections,2026-04-10T02:02:54.030081+00:00
2025,9,23187,Tyler Shough,NO,QB,LAR,11.8,fantasydata.weekly_projections,2026-04-10T02:02:54.030081+00:00
2025,9,24118,Tucker Kraft,GB,TE,CAR,11.7,fantasydata.weekly_projections,2026-04-10T02:02:54.030081+00:00
2025,9,21756,Nico Collins,HOU,WR,DEN,11.7,fantasydata.weekly_projections,2026-04-10T02:02:54.030081+00:00
2025,9,24933,Brian Thomas Jr.,JAX,WR,LV,11.5,fantasydata.weekly_projections,2026-04-10T02:02:54.030081+00:00
2025,9,20932,Deebo Samuel Sr.,WAS,WR,SEA,11.4,fantasydata.weekly_projections,2026-04-10T02:02:54.030081+00:00
2025,9,15076,Keenan Allen,LAC,WR,TEN,11.2,fantasydata.weekly_projections,2026-04-10T02:02:54.030081+00:00
2025,9,25092,Tyrone Tracy Jr.,NYG,RB,SF,11.2,fantasydata.weekly_projections,2026-04-10T02:02:54.030081+00:00
2025,9,24374,Chase Brown,CIN,RB,CHI,11.2,fantasydata.weekly_projections,2026-04-10T02:02:54.030081+00:00
2025,9,19063,George Kittle,SF,TE,NYG,11.2,fantasydata.weekly_projections,2026-04-10T02:02:54.030081+00:00
2025,9,25874,Tyler Warren,IND,TE,PIT,11.1,fantasydata.weekly_projections,2026-04-10T02:02:54.030081+00:00
2025,9,22565,Chris Olave,NO,WR,LAR,11.0,fantasydata.weekly_projections,2026-04-10T02:02:54.030081+00:00
2025,9,23245,TreVeyon Henderson,NE,RB,ATL,10.8,fantasydata.weekly_projections,2026-04-10T02:02:54.030081+00:00
