season,week,player_id,player,team,position,opponent,projected_points,source,loaded_at
2025,16,21831,Jalen Hurts,PHI,QB,WAS,21.4,fantasydata.weekly_projections,2026-04-10T02:02:54.158839+00:00
2025,16,23200,Jahmyr Gibbs,DET,RB,PIT,21.1,fantasydata.weekly_projections,2026-04-10T02:02:54.158839+00:00
2025,16,19801,Josh Allen,BUF,QB,CLE,20.7,fantasydata.weekly_projections,2026-04-10T02:02:54.158839+00:00
2025,16,23189,Bijan Robinson,ATL,RB,ARI,20.2,fantasydata.weekly_projections,2026-04-10T02:02:54.158839+00:00
2025,16,18877,Christian McCaffrey,SF,RB,IND,19.7,fantasydata.weekly_projections,2026-04-10T02:02:54.158839+00:00
2025,16,24179,De'Von Achane,MIA,RB,CIN,19.4,fantasydata.weekly_projections,2026-04-10T02:02:54.158839+00:00
2025,16,21682,Jonathan Taylor,IND,RB,SF,19.4,fantasydata.weekly_projections,2026-04-10T02:02:54.158839+00:00
2025,16,21681,Justin Herbert,LAC,QB,DAL,19.2,fantasydata.weekly_projections,2026-04-10T02:02:54.158839+00:00
2025,16,24958,Drake Maye,NE,QB,BAL,18.7,fantasydata.weekly_projections,2026-04-10T02:02:54.158839+00:00
2025,16,23241,Brock Purdy,SF,QB,IND,18.6,fantasydata.weekly_projections,2026-04-10T02:02:54.158839+00:00
2025,16,19781,Lamar Jackson,BAL,QB,NE,18.5,fantasydata.weekly_projections,2026-04-10T02:02:54.158839+00:00
2025,16,19790,Baker Mayfield,TB,QB,CAR,18.1,fantasydata.weekly_projections,2026-04-10T02:02:54.158839+00:00
2025,16,18018,Jacoby Brissett,ARI,QB,ATL,18.1,fantasydata.weekly_projections,2026-04-10T02:02:54.158839+00:00
2025,16,21693,Joe Burrow,CIN,QB,MIA,17.9,fantasydata.weekly_projections,2026-04-10T02:02:54.158839+00:00
2025,16,18055,Dak Prescott,DAL,QB,LAC,17.7,fantasydata.weekly_projections,2026-04-10T02:02:54.158839+00:00
2025,16,17922,Jared Goff,DET,QB,PIT,17.6,fantasydata.weekly_projections,2026-04-10T02:02:54.158839+00:00
2025,16,22587,Amon-Ra St. Brown,DET,WR,PIT,17.5,fantasydata.weekly_projections,2026-04-10T02:02:54.158839+00:00
2025,16,26082,Jaxson Dart,NYG,QB,MIN,17.1,fantasydata.weekly_projections,2026-04-10T02:02:54.158839+00:00
