season,week,player_id,player,team,position,opponent,projected_points,source,loaded_at
2025,1,19781,Lamar Jackson,BAL,QB,BUF,21.6,fantasydata.weekly_projections,2026-04-10T02:02:53.784417+00:00
2025,1,23235,Jayden Daniels,WAS,QB,NYG,21.0,fantasydata.weekly_projections,2026-04-10T02:02:53.784417+00:00
2025,1,21831,Jalen Hurts,PHI,QB,DAL,20.9,fantasydata.weekly_projections,2026-04-10T02:02:53.784417+00:00
2025,1,19801,Josh Allen,BUF,QB,BAL,20.6,fantasydata.weekly_projections,2026-04-10T02:02:53.784417+00:00
2025,1,21693,Joe Burrow,CIN,QB,CLE,19.4,fantasydata.weekly_projections,2026-04-10T02:02:53.784417+00:00
2025,1,19790,Baker Mayfield,TB,QB,ATL,19.0,fantasydata.weekly_projections,2026-04-10T02:02:53.784417+00:00
2025,1,19766,Saquon Barkley,PHI,RB,DAL,18.4,fantasydata.weekly_projections,2026-04-10T02:02:53.784417+00:00
2025,1,18890,Patrick Mahomes,KC,QB,LAC,18.2,fantasydata.weekly_projections,2026-04-10T02:02:53.784417+00:00
2025,1,23241,Brock Purdy,SF,QB,SEA,17.7,fantasydata.weekly_projections,2026-04-10T02:02:53.784417+00:00
2025,1,25069,Bo Nix,DEN,QB,TEN,17.4,fantasydata.weekly_projections,2026-04-10T02:02:53.784417+00:00
2025,1,22492,Justin Fields,NYJ,QB,PIT,17.2,fantasydata.weekly_projections,2026-04-10T02:02:53.784417+00:00
2025,1,21841,Jordan Love,GB,QB,DET,17.1,fantasydata.weekly_projections,2026-04-10T02:02:53.784417+00:00
2025,1,17959,Derrick Henry,BAL,RB,BUF,17.0,fantasydata.weekly_projections,2026-04-10T02:02:53.784417+00:00
2025,1,23189,Bijan Robinson,ATL,RB,TB,17.0,fantasydata.weekly_projections,2026-04-10T02:02:53.784417+00:00
2025,1,22564,Ja'Marr Chase,CIN,WR,CLE,16.9,fantasydata.weekly_projections,2026-04-10T02:02:53.784417+00:00
2025,1,24958,Drake Maye,NE,QB,LV,16.8,fantasydata.weekly_projections,2026-04-10T02:02:53.784417+00:00
2025,1,17922,Jared Goff,DET,QB,GB,16.8,fantasydata.weekly_projections,2026-04-10T02:02:53.784417+00:00
2025,1,22490,Trevor Lawrence,JAX,QB,CAR,16.7,fantasydata.weekly_projections,2026-04-10T02:02:53.784417+00:00
2025,1,23200,Jahmyr Gibbs,DET,RB,GB,16.7,fantasydata.weekly_projections,2026-04-10T02:02:53.784417+00:00
2025,1,20889,Kyler Murray,ARI,QB,NO,16.7,fantasydata.weekly_projections,2026-04-10T02:02:53.784417+00:00
2025,1,21682,Jonathan Taylor,IND,RB,MIA,16.7,fantasydata.weekly_projections,2026-04-10T02:02:53.784417+00:00
2025,1,21677,Tua Tagovailoa,MIA,QB,IND,16.3,fantasydata.weekly_projections,2026-04-10T02:02:53.784417+00:00
2025,1,18877,Christian McCaffrey,SF,RB,SEA,16.0,fantasydata.weekly_projections,2026-04-10T02:02:53.784417+00:00
2025,1,21681,Justin Herbert,LAC,QB,KC,16.0,fantasydata.weekly_projections,2026-04-10T02:02:53.784417+00:00
2025,1,24179,De'Von Achane,MIA,RB,IND,15.9,fantasydata.weekly_projections,2026-04-10T02:02:53.784417+00:00
