season,week,player_id,player,team,position,opponent,projected_points,source,loaded_at
2025,8,19801,Josh Allen,BUF,QB,CAR,22.8,fantasydata.weekly_projections,2026-04-10T02:02:53.994323+00:00
2025,8,18890,Patrick Mahomes,KC,QB,WAS,22.4,fantasydata.weekly_projections,2026-04-10T02:02:53.994323+00:00
2025,8,23189,Bijan Robinson,ATL,RB,MIA,21.7,fantasydata.weekly_projections,2026-04-10T02:02:53.994323+00:00
2025,8,21831,Jalen Hurts,PHI,QB,NYG,21.1,fantasydata.weekly_projections,2026-04-10T02:02:53.994323+00:00
2025,8,21682,Jonathan Taylor,IND,RB,TEN,21.0,fantasydata.weekly_projections,2026-04-10T02:02:53.994323+00:00
2025,8,18877,Christian McCaffrey,SF,RB,HOU,20.7,fantasydata.weekly_projections,2026-04-10T02:02:53.994323+00:00
2025,8,25069,Bo Nix,DEN,QB,DAL,20.3,fantasydata.weekly_projections,2026-04-10T02:02:53.994323+00:00
2025,8,20841,Daniel Jones,IND,QB,TEN,19.3,fantasydata.weekly_projections,2026-04-10T02:02:53.994323+00:00
2025,8,19790,Baker Mayfield,TB,QB,NO,18.8,fantasydata.weekly_projections,2026-04-10T02:02:53.994323+00:00
2025,8,24958,Drake Maye,NE,QB,CLE,18.3,fantasydata.weekly_projections,2026-04-10T02:02:53.994323+00:00
2025,8,21681,Justin Herbert,LAC,QB,MIN,18.2,fantasydata.weekly_projections,2026-04-10T02:02:53.994323+00:00
2025,8,24179,De'Von Achane,MIA,RB,ATL,18.1,fantasydata.weekly_projections,2026-04-10T02:02:53.994323+00:00
2025,8,18055,Dak Prescott,DAL,QB,DEN,17.0,fantasydata.weekly_projections,2026-04-10T02:02:53.994323+00:00
2025,8,26082,Jaxson Dart,NYG,QB,PHI,16.8,fantasydata.weekly_projections,2026-04-10T02:02:53.994323+00:00
2025,8,22564,Ja'Marr Chase,CIN,WR,NYJ,16.6,fantasydata.weekly_projections,2026-04-10T02:02:53.994323+00:00
2025,8,24927,Caleb Williams,CHI,QB,BAL,16.6,fantasydata.weekly_projections,2026-04-10T02:02:53.994323+00:00
2025,8,22492,Justin Fields,NYJ,QB,CIN,16.6,fantasydata.weekly_projections,2026-04-10T02:02:53.994323+00:00
2025,8,20824,Josh Jacobs,GB,RB,PIT,16.4,fantasydata.weekly_projections,2026-04-10T02:02:53.994323+00:00
2025,8,23217,Rachaad White,TB,RB,NO,16.3,fantasydata.weekly_projections,2026-04-10T02:02:53.994323+00:00
2025,8,21841,Jordan Love,GB,QB,PIT,16.2,fantasydata.weekly_projections,2026-04-10T02:02:53.994323+00:00
2025,8,17959,Derrick Henry,BAL,RB,CHI,16.0,fantasydata.weekly_projections,2026-04-10T02:02:53.994323+00:00
2025,8,16763,Marcus Mariota,WAS,QB,KC,15.6,fantasydata.weekly_projections,2026-04-10T02:02:53.994323+00:00
2025,8,23247,James Cook,BUF,RB,CAR,15.6,fantasydata.weekly_projections,2026-04-10T02:02:53.994323+00:00
2025,8,19766,Saquon Barkley,PHI,RB,NYG,15.4,fantasydata.weekly_projections,2026-04-10T02:02:53.994323+00:00
2025,8,23239,C.J. Stroud,HOU,QB,SF,15.1,fantasydata.weekly_projections,2026-04-10T02:02:53.994323+00:00
2025,8,611,Joe Flacco,CIN,QB,NYJ,14.8,fantasydata.weekly_projections,2026-04-10T02:02:53.994323+00:00
2025,8,14252,Kirk Cousins,ATL,QB,MIA,14.8,fantasydata.weekly_projections,2026-04-10T02:02:53.994323+00:00
2025,8,21810,Tyler Huntley,BAL,QB,CHI,14.6,fantasydata.weekly_projections,2026-04-10T02:02:53.994323+00:00
2025,8,17920,Carson Wentz,MIN,QB,LAC,14.4,fantasydata.weekly_projections,2026-04-10T02:02:53.994323+00:00
2025,8,2593,Aaron Rodgers,PIT,QB,GB,14.3,fantasydata.weekly_projections,2026-04-10T02:02:53.994323+00:00
2025,8,24120,Rashee Rice,KC,WR,WAS,14.1,fantasydata.weekly_projections,2026-04-10T02:02:53.994323+00:00
2025,8,23186,Spencer Rattler,NO,QB,TB,14.0,fantasydata.weekly_projections,2026-04-10T02:02:53.994323+00:00
2025,8,21679,CeeDee Lamb,DAL,WR,DEN,13.8,fantasydata.weekly_projections,2026-04-10T02:02:53.994323+00:00
2025,8,22558,Javonte Williams,DAL,RB,DEN,13.7,fantasydata.weekly_projections,2026-04-10T02:02:53.994323+00:00
2025,8,21685,Justin Jefferson,MIN,WR,LAC,13.6,fantasydata.weekly_projections,2026-04-10T02:02:53.994323+00:00
2025,8,26092,Emeka Egbuka,TB,WR,NO,13.4,fantasydata.weekly_projections,2026-04-10T02:02:53.994323+00:00
2025,8,21687,DeVonta Smith,PHI,WR,NYG,13.2,fantasydata.weekly_projections,2026-04-10T02:02:53.994323+00:00
2025,8,22496,Mac Jones,SF,QB,HOU,13.2,fantasydata.weekly_projections,2026-04-10T02:02:53.994323+00:00
2025,8,23177,Dillon Gabriel,CLE,QB,NE,13.1,fantasydata.weekly_projections,2026-04-10T02:02:53.994323+00:00
2025,8,12841,Andy Dalton,CAR,QB,BUF,13.1,fantasydata.weekly_projections,2026-04-10T02:02:53.994323+00:00
2025,8,21677,Tua Tagovailoa,MIA,QB,ATL,13.1,fantasydata.weekly_projections,2026-04-10T02:02:53.994323+00:00
2025,8,22526,Breece Hall,NYJ,RB,CIN,13.1,fantasydata.weekly_projections,2026-04-10T02:02:53.994323+00:00
2025,8,25887,Cam Skattebo,NYG,RB,PHI,12.8,fantasydata.weekly_projections,2026-04-10T02:02:53.994323+00:00
2025,8,21674,J.K. Dobbins,DEN,RB,DAL,12.6,fantasydata.weekly_projections,2026-04-10T02:02:53.994323+00:00
2025,8,25323,Cam Ward,TEN,QB,IND,12.6,fantasydata.weekly_projections,2026-04-10T02:02:53.994323+00:00
2025,8,25946,Quinshon Judkins,CLE,RB,NE,12.3,fantasydata.weekly_projections,2026-04-10T02:02:53.994323+00:00
2025,8,19800,Courtland Sutton,DEN,WR,DAL,12.0,fantasydata.weekly_projections,2026-04-10T02:02:53.994323+00:00
2025,8,21684,D'Andre Swift,CHI,RB,BAL,11.9,fantasydata.weekly_projections,2026-04-10T02:02:53.994323+00:00
2025,8,23479,Jaylen Warren,PIT,RB,GB,11.9,fantasydata.weekly_projections,2026-04-10T02:02:53.994323+00:00
2025,8,18878,Alvin Kamara,NO,RB,TB,11.8,fantasydata.weekly_projections,2026-04-10T02:02:53.994323+00:00
2025,8,24977,Rome Odunze,CHI,WR,BAL,11.7,fantasydata.weekly_projections,2026-04-10T02:02:53.994323+00:00
2025,8,20875,DK Metcalf,PIT,WR,GB,11.6,fantasydata.weekly_projections,2026-04-10T02:02:53.994323+00:00
2025,8,21744,Michael Pittman Jr.,IND,WR,TEN,11.6,fantasydata.weekly_projections,2026-04-10T02:02:53.994323+00:00
2025,8,22565,Chris Olave,NO,WR,TB,11.5,fantasydata.weekly_projections,2026-04-10T02:02:53.994323+00:00
2025,8,23153,George Pickens,DAL,WR,DEN,11.5,fantasydata.weekly_projections,2026-04-10T02:02:53.994323+00:00
2025,8,21952,Rico Dowdle,CAR,RB,BUF,11.4,fantasydata.weekly_projections,2026-04-10T02:02:53.994323+00:00
2025,8,25079,Kimani Vidal,LAC,RB,MIN,11.2,fantasydata.weekly_projections,2026-04-10T02:02:53.994323+00:00
2025,8,22598,Jaylen Waddle,MIA,WR,ATL,11.2,fantasydata.weekly_projections,2026-04-10T02:02:53.994323+00:00
2025,8,24374,Chase Brown,CIN,RB,NYJ,10.9,fantasydata.weekly_projections,2026-04-10T02:02:53.994323+00:00
2025,8,22546,Rhamondre Stevenson,NE,RB,CLE,10.9,fantasydata.weekly_projections,2026-04-10T02:02:53.994323+00:00
2025,8,23364,Jordan Mason,MIN,RB,LAC,10.8,fantasydata.weekly_projections,2026-04-10T02:02:53.994323+00:00
2025,8,21690,Tee Higgins,CIN,WR,NYJ,10.7,fantasydata.weekly_projections,2026-04-10T02:02:53.994323+00:00
2025,8,25874,Tyler Warren,IND,TE,TEN,10.7,fantasydata.weekly_projections,2026-04-10T02:02:53.994323+00:00
2025,8,15076,Keenan Allen,LAC,WR,MIN,10.7,fantasydata.weekly_projections,2026-04-10T02:02:53.994323+00:00
2025,8,26054,Tetairoa McMillan,CAR,WR,BUF,10.7,fantasydata.weekly_projections,2026-04-10T02:02:53.994323+00:00
2025,8,23120,Zay Flowers,BAL,WR,CHI,10.6,fantasydata.weekly_projections,2026-04-10T02:02:53.994323+00:00
2025,8,25097,Ladd McConkey,LAC,WR,MIN,10.6,fantasydata.weekly_projections,2026-04-10T02:02:53.994323+00:00
2025,8,26259,Jacory Croskey-Merritt,WAS,RB,KC,10.6,fantasydata.weekly_projections,2026-04-10T02:02:53.994323+00:00
2025,8,24118,Tucker Kraft,GB,TE,PIT,10.3,fantasydata.weekly_projections,2026-04-10T02:02:53.994323+00:00
2025,8,24226,Quentin Johnston,LAC,WR,MIN,10.3,fantasydata.weekly_projections,2026-04-10T02:02:53.994323+00:00
2025,8,23162,Jordan Addison,MIN,WR,LAC,10.2,fantasydata.weekly_projections,2026-04-10T02:02:53.994323+00:00
2025,8,19063,George Kittle,SF,TE,HOU,10.2,fantasydata.weekly_projections,2026-04-10T02:02:53.994323+00:00
2025,8,16906,Stefon Diggs,NE,WR,CLE,10.2,fantasydata.weekly_projections,2026-04-10T02:02:53.994323+00:00
2025,8,20932,Deebo Samuel Sr.,WAS,WR,KC,10.1,fantasydata.weekly_projections,2026-04-10T02:02:53.994323+00:00
2025,8,25942,Woody Marks,HOU,RB,SF,10.1,fantasydata.weekly_projections,2026-04-10T02:02:53.994323+00:00
2025,8,24924,Xavier Worthy,KC,WR,WAS,10.1,fantasydata.weekly_projections,2026-04-10T02:02:53.994323+00:00
2025,8,23170,Wan'Dale Robinson,NYG,WR,PHI,9.8,fantasydata.weekly_projections,2026-04-10T02:02:53.994323+00:00
2025,8,20873,Terry McLaurin,WAS,WR,KC,9.8,fantasydata.weekly_projections,2026-04-10T02:02:53.994323+00:00
2025,8,21691,Chuba Hubbard,CAR,RB,BUF,9.6,fantasydata.weekly_projections,2026-04-10T02:02:53.994323+00:00
2025,8,19863,Dallas Goedert,PHI,TE,NYG,9.4,fantasydata.weekly_projections,2026-04-10T02:02:53.994323+00:00
2025,8,23167,Romeo Doubs,GB,WR,PIT,9.3,fantasydata.weekly_projections,2026-04-10T02:02:53.994323+00:00
2025,8,23729,Rashid Shaheed,NO,WR,TB,9.1,fantasydata.weekly_projections,2026-04-10T02:02:53.994323+00:00
2025,8,23138,Jake Ferguson,DAL,TE,DEN,9.0,fantasydata.weekly_projections,2026-04-10T02:02:53.994323+00:00
2025,8,23227,Khalil Shakir,BUF,WR,CAR,8.9,fantasydata.weekly_projections,2026-04-10T02:02:53.994323+00:00
2025,8,19844,DJ Moore,CHI,WR,BAL,8.8,fantasydata.weekly_projections,2026-04-10T02:02:53.994323+00:00
