season,week,player_id,player,team,position,opponent,projected_points,source,loaded_at
2025,2,19781,Lamar Jackson,BAL,QB,CLE,22.4,fantasydata.weekly_projections,2026-04-10T02:02:53.839104+00:00
2025,2,19801,Josh Allen,BUF,QB,NYJ,21.5,fantasydata.weekly_projections,2026-04-10T02:02:53.839104+00:00
2025,2,21831,Jalen Hurts,PHI,QB,KC,21.0,fantasydata.weekly_projections,2026-04-10T02:02:53.839104+00:00
2025,2,21693,Joe Burrow,CIN,QB,JAX,20.5,fantasydata.weekly_projections,2026-04-10T02:02:53.839104+00:00
2025,2,23235,Jayden Daniels,WAS,QB,GB,20.4,fantasydata.weekly_projections,2026-04-10T02:02:53.839104+00:00
2025,2,20889,Kyler Murray,ARI,QB,CAR,18.5,fantasydata.weekly_projections,2026-04-10T02:02:53.839104+00:00
2025,2,22492,Justin Fields,NYJ,QB,BUF,17.8,fantasydata.weekly_projections,2026-04-10T02:02:53.839104+00:00
2025,2,18890,Patrick Mahomes,KC,QB,PHI,17.8,fantasydata.weekly_projections,2026-04-10T02:02:53.839104+00:00
2025,2,22564,Ja'Marr Chase,CIN,WR,JAX,17.6,fantasydata.weekly_projections,2026-04-10T02:02:53.839104+00:00
2025,2,17959,Derrick Henry,BAL,RB,CLE,17.6,fantasydata.weekly_projections,2026-04-10T02:02:53.839104+00:00
2025,2,21681,Justin Herbert,LAC,QB,LV,17.4,fantasydata.weekly_projections,2026-04-10T02:02:53.839104+00:00
2025,2,18877,Christian McCaffrey,SF,RB,NO,17.3,fantasydata.weekly_projections,2026-04-10T02:02:53.839104+00:00
2025,2,17922,Jared Goff,DET,QB,CHI,17.2,fantasydata.weekly_projections,2026-04-10T02:02:53.839104+00:00
2025,2,19766,Saquon Barkley,PHI,RB,KC,17.1,fantasydata.weekly_projections,2026-04-10T02:02:53.839104+00:00
2025,2,23200,Jahmyr Gibbs,DET,RB,CHI,17.1,fantasydata.weekly_projections,2026-04-10T02:02:53.839104+00:00
2025,2,24374,Chase Brown,CIN,RB,JAX,16.9,fantasydata.weekly_projections,2026-04-10T02:02:53.839104+00:00
2025,2,19790,Baker Mayfield,TB,QB,HOU,16.9,fantasydata.weekly_projections,2026-04-10T02:02:53.839104+00:00
2025,2,18055,Dak Prescott,DAL,QB,NYG,16.8,fantasydata.weekly_projections,2026-04-10T02:02:53.839104+00:00
2025,2,21841,Jordan Love,GB,QB,WAS,16.8,fantasydata.weekly_projections,2026-04-10T02:02:53.839104+00:00
2025,2,20824,Josh Jacobs,GB,RB,WAS,16.8,fantasydata.weekly_projections,2026-04-10T02:02:53.839104+00:00
2025,2,20841,Daniel Jones,IND,QB,DEN,16.8,fantasydata.weekly_projections,2026-04-10T02:02:53.839104+00:00
2025,2,24956,J.J. McCarthy,MIN,QB,ATL,16.5,fantasydata.weekly_projections,2026-04-10T02:02:53.839104+00:00
2025,2,25069,Bo Nix,DEN,QB,IND,16.5,fantasydata.weekly_projections,2026-04-10T02:02:53.839104+00:00
2025,2,23189,Bijan Robinson,ATL,RB,MIN,16.4,fantasydata.weekly_projections,2026-04-10T02:02:53.839104+00:00
2025,2,24179,De'Von Achane,MIA,RB,NE,16.2,fantasydata.weekly_projections,2026-04-10T02:02:53.839104+00:00
